SSID,BSSID,RSSI,Frequency(MHz)
UPT-eduroam,24:DE:C6:9C:74:A0,-82,2.462
B424,34:0A:33:7E:31:5C,-75,2.462
OpenWrt,00:18:E7:89:72:29,-78,2.462
UPT-eduroam,24:DE:C6:9E:F3:30,-76,2.462
UPT-eduroam,D8:C7:C8:04:70:20,-88,2.462
B129,A0:F3:C1:6A:30:36,-69,2.462
RG60SE_A6,00:1F:CF:11:83:08,-70,2.437
A108_2.4G,9C:53:22:7E:C3:BA,-60,2.427
B329,E8:48:B8:64:B6:C3,-60,2.422
SACI-A109-2G,18:31:BF:64:EB:A8,-66,2.462
DecanatET_Guest,EA:C3:2A:C9:29:C2,-62,2.452
Etc_A205,30:16:9D:6D:62:04,-56,2.457
DecanatET,E4:C3:2A:C9:29:C2,-63,2.452
Consiliu,00:1F:CF:11:76:CC,-63,2.437
A_306,F8:D1:11:41:11:BC,-68,2.437
B624,B4:F1:8C:B7:93:C0,-72,2.437
AIA,98:DA:C4:3F:1E:FF,-63,2.437
Tenda_709990,B4:0F:3B:70:99:94,-58,2.422
UPT-eduroam,24:DE:C6:7C:CA:F0,-62,2.412
studcm,C0:C1:C0:D1:DB:68,-65,2.462
StaffCM,04:95:E6:06:77:61,-60,2.412
DecanatET_Guest,EA:C3:2A:C9:28:BA,-73,2.452
B714,00:1F:CF:11:7F:56,-70,2.437
WETC32,00:1F:CF:11:76:C4,-85,2.437
SACI-A107a-2G,18:31:BF:64:EB:E8,-63,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-66,2.412
