SSID,BSSID,RSSI,Frequency(MHz)
OpenWrt,00:18:E7:89:72:29,-69,2.462
B424,34:0A:33:7E:31:5C,-84,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-74,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-59,2.462
DCTI-PUBLIC,E0:1C:FC:94:13:77,-83,2.472
A304,98:DA:C4:3F:10:A7,-72,2.462
WETC-B128,76:D0:2B:9B:FF:B3,-78,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-73,2.462
Lab TFI,50:D4:F7:BB:C8:85,-69,2.427
Electronica1,34:60:F9:A8:05:92,-60,2.422
Etc_A316_2.4G,40:AE:30:44:8C:13,-79,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-61,2.452
uetm_guest,7A:2F:74:2C:C0:31,-60,2.447
DCTI-PUBLIC,E0:1C:FC:94:19:23,-80,2.442
uetm,F0:2F:74:2C:C0:30,-63,2.447
Etc_A205,30:16:9D:6D:62:04,-62,2.457
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-83,2.437
uetm,F0:2F:74:2D:33:01,-63,2.447
StaffCM,04:95:E6:06:77:61,-65,2.442
Consiliu,00:1F:CF:11:76:CC,-63,2.437
A_306,F8:D1:11:41:11:BC,-100,2.437
WiFi_STPT793B,20:97:27:20:79:3B,-86,2.427
ETcTI,00:1D:60:19:98:D4,-62,2.412
AIA,98:DA:C4:3F:1E:FF,-70,2.437
LIGA_AC_HQ,C8:7F:54:58:EB:60,-84,2.417
B329,E8:48:B8:64:B6:C3,-66,2.417
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-57,2.417
A25 al utilizatorului Evelyn,5E:9B:FA:1B:CC:C1,-90,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-78,2.462
android027,00:24:01:E7:63:35,-77,2.472
RG60SE_A6,00:1F:CF:11:83:08,-80,2.437
B714,00:1F:CF:11:7F:56,-68,2.437
UPT-eduroam,24:DE:C6:7C:CA:F0,-60,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-59,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-70,2.412
