SSID,BSSID,RSSI,Frequency(MHz)
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-60,2.462
B329,E8:48:B8:64:B6:C3,-64,2.422
studcm,C0:C1:C0:D1:DB:68,-58,2.462
B129,A0:F3:C1:6A:30:36,-68,2.462
AIA,98:DA:C4:3F:1E:FF,-62,2.437
DecanatET,E4:C3:2A:C9:28:BA,-75,2.452
DecanatET_Guest,EA:C3:2A:C9:28:BA,-91,2.452
Tenda_709990,B4:0F:3B:70:99:94,-58,2.462
Etc_A205,30:16:9D:6D:62:04,-68,2.457
B029,A8:42:A1:69:A0:56,-70,2.447
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-79,2.447
Consiliu,00:1F:CF:11:76:CC,-68,2.437
Electronica1,34:60:F9:A8:05:92,-68,2.422
VILLA MIHAI VITEAZU 1,C2:25:2F:2A:17:7E,-84,2.422
SACI-A107a-2G,18:31:BF:64:EB:E8,-64,2.412
StaffCM,04:95:E6:06:77:61,-56,2.412
Stand_3_Siemens,00:1E:42:16:CB:CA,-70,2.462
Off Limits2,B4:0F:3B:6E:D9:51,-68,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-100,2.462
B714,00:1F:CF:11:7F:56,-74,2.437
RG60SE_A6,00:1F:CF:11:83:08,-74,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:23,-76,2.442
UPT-eduroam,24:DE:C6:7C:CA:F0,-64,2.412
1e790931,F4:91:1E:79:09:31,-84,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-56,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-59,2.412
AIA,70:4C:A5:C8:ED:F2,-58,2.412
TP-LINK_A2,B0:48:7A:B2:59:38,-74,2.412
Decanat_Etc,9C:53:22:3A:E5:BC,-72,2.422
