SSID,BSSID,RSSI,Frequency(MHz)
Stand_3_Siemens,00:1E:42:16:CB:CA,-88,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-65,2.462
OpenWrt,00:18:E7:89:72:29,-58,2.462
studcm,C0:C1:C0:D1:DB:68,-70,2.462
Tenda_6176,58:D9:D5:00:61:76,-84,2.467
Etc_A205,30:16:9D:6D:62:04,-70,2.457
UPT-eduroam,24:DE:C6:9C:74:A0,-67,2.462
DecanatET,E4:C3:2A:C9:28:BA,-76,2.452
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-73,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-59,2.462
uetm_guest,7A:2F:74:2C:C0:31,-63,2.447
uetm,F0:2F:74:2C:C0:30,-60,2.447
DecanatET_Guest,EA:C3:2A:C9:29:C2,-72,2.452
Tenda_709990,B4:0F:3B:70:99:94,-72,2.452
Lab TFI,50:D4:F7:BB:C8:85,-72,2.427
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-60,2.417
Electronica1,34:60:F9:A8:05:92,-64,2.422
ETcTI,00:1D:60:19:98:D4,-62,2.412
A304,98:DA:C4:3F:10:A7,-74,2.462
Consiliu,00:1F:CF:11:76:CC,-64,2.437
ASUS,54:A0:50:B5:08:90,-79,2.412
CONFERENCE,84:D4:7E:2A:81:80,-94,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-72,2.412
1e790931,F4:91:1E:79:09:31,-79,2.412
