SSID,BSSID,RSSI,Frequency(MHz)
android027,00:24:01:E7:63:35,-82,2.472
OpenWrt,00:18:E7:89:72:29,-58,2.462
DCTI-PUBLIC,E0:1C:FC:94:13:77,-84,2.472
studcm,C0:C1:C0:D1:DB:68,-82,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-64,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-59,2.462
Lab TFI,50:D4:F7:BB:C8:85,-70,2.427
A304,98:DA:C4:3F:10:A7,-16,2.462
uetm_guest,7A:2F:74:2C:C0:31,-62,2.447
DecanatET,E4:C3:2A:C9:29:C2,-68,2.452
uetm,F0:2F:74:2C:C0:30,-63,2.447
DecanatET_Guest,EA:C3:2A:C9:29:C2,-70,2.452
ETcTI,00:1D:60:19:98:D4,-64,2.412
Electronica1,34:60:F9:A8:05:92,-63,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-63,2.417
UPT-eduroam,24:DE:C6:9C:74:A0,-64,2.462
Tenda_709990,B4:0F:3B:70:99:94,-12,2.452
ASUS,54:A0:50:B5:08:90,-78,2.412
Etc_A205,30:16:9D:6D:62:04,-65,2.457
AIA,98:DA:C4:3F:1E:FF,-74,2.437
Consiliu,00:1F:CF:11:76:CC,-62,2.437
WETC32,00:1F:CF:11:76:C4,-88,2.437
UPT-eduroam,24:DE:C6:9E:F3:10,-76,2.412
CONFERENCE,84:D4:7E:2A:81:80,-90,2.412
AIA,70:4C:A5:C8:ED:F2,-84,2.412
B329,E8:48:B8:64:B6:C3,-62,2.417
UPT-eduroam,24:DE:C6:7C:CA:F0,-68,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-65,2.412
