SSID,BSSID,RSSI,Frequency(MHz)
UPT-eduroam,24:DE:C6:9C:74:A0,-70,2.462
UPT-eduroam,24:DE:C6:9C:58:B0,-84,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-100,2.462
studcm,C0:C1:C0:D1:DB:68,-6,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-57,2.462
OpenWrt,00:18:E7:89:72:29,-66,2.462
Etc_A205,30:16:9D:6D:62:04,-64,2.457
Off Limits2,B4:0F:3B:6E:D9:51,-85,2.462
DecanatET,E4:C3:2A:C9:28:BA,-81,2.452
uetm_guest,7A:2F:74:2C:C0:31,-68,2.447
uetm,F0:2F:74:2D:33:01,-70,2.447
DCTI-PUBLIC,E0:1C:FC:94:19:32,-86,2.432
AIA,98:DA:C4:3F:1E:FF,-74,2.437
Electronica1,34:60:F9:A8:05:92,-72,2.422
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-76,2.417
B329,E8:48:B8:64:B6:C3,-76,2.417
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-61,2.417
Consiliu,00:1F:CF:11:76:CC,-74,2.437
UPT-eduroam,24:DE:C6:7C:CA:F0,-72,2.412
B714,00:1F:CF:11:7F:56,-70,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-70,2.437
UPT-eduroam,24:DE:C6:9E:F0:B0,-74,2.412
StaffCM,04:95:E6:06:77:61,-64,2.412
1e790931,F4:91:1E:79:09:31,-72,2.412
ETcTI,00:1D:60:19:98:D4,-67,2.412
CONFERENCE,84:D4:7E:2A:81:80,-84,2.412
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
B129,A0:F3:C1:6A:30:36,-74,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-73,2.462
