SSID,BSSID,RSSI,Frequency(MHz)
OpenWrt,00:18:E7:89:72:29,-50,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-80,2.462
AC_guest,A0:AB:1B:7A:95:B6,-86,2.462
A304,98:DA:C4:3F:10:A7,-67,2.462
B424,34:0A:33:7E:31:5C,-82,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-76,2.437
Consiliu,00:1F:CF:11:76:CC,-64,2.437
studcm,C0:C1:C0:D1:DB:68,-64,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-58,2.462
StaffCM,04:95:E6:06:77:61,-76,2.442
B329,E8:48:B8:64:B6:C3,-69,2.452
DecanatET,E4:C3:2A:C9:29:C2,-68,2.452
A_306,F8:D1:11:41:11:BC,-76,2.437
uetm,F0:2F:74:2C:C0:30,-59,2.447
DecanatET,E4:C3:2A:C9:28:BA,-63,2.452
RG60SE_A6,00:1F:CF:11:83:08,-80,2.437
Lab TFI,50:D4:F7:BB:C8:85,-72,2.427
ETcTI,00:1D:60:19:98:D4,-61,2.412
Electronica1,34:60:F9:A8:05:92,-62,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-56,2.417
WETC32,00:1F:CF:11:76:C4,-77,2.437
iOT-RIV,22:E8:29:6D:D4:B9,-74,2.437
AIA,98:DA:C4:3F:1E:FF,-73,2.437
SACI-A107a-2G,18:31:BF:64:EB:E8,-60,2.412
Rivere,7E:45:58:24:EB:CB,-84,2.412
TP-LINK_A2,B0:48:7A:B2:59:38,-82,2.412
smartmove-upt,84:D8:1B:FC:C1:B0,-82,2.417
UPT-eduroam,24:DE:C6:7C:CA:F0,-71,2.412
AIA,70:4C:A5:C8:ED:F2,-72,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-74,2.412
android027,00:24:01:E7:63:35,-73,2.472
DecanatET_Guest,EA:C3:2A:C9:29:C2,-59,2.452
WETC-B128,76:D0:2B:9B:FF:B3,-82,2.462
