SSID,BSSID,RSSI,Frequency(MHz)
android027,00:24:01:E7:63:35,-84,2.472
AC-Guest,A0:AB:1B:7A:96:C8,-70,2.462
DCTI-PUBLIC,E0:1C:FC:94:13:77,-6,2.472
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-69,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-81,2.462
OpenWrt,00:18:E7:89:72:29,-69,2.462
studcm,C0:C1:C0:D1:DB:68,-70,2.462
Etc_A205,30:16:9D:6D:62:04,-58,2.457
uetm,F0:2F:74:2C:C0:30,-68,2.447
DecanatET_Guest,EA:C3:2A:C9:28:BA,-82,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-74,2.452
DecanatET,E4:C3:2A:C9:29:C2,-91,2.452
uetm_guest,7A:2F:74:2C:C0:31,-68,2.447
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-94,2.447
PowerTheWorld2,00:23:CD:18:8C:64,-75,2.447
Tenda_709990,B4:0F:3B:70:99:94,-74,2.452
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-70,2.437
Lab TFI,50:D4:F7:BB:C8:85,-90,2.427
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-66,2.417
StaffCM,04:95:E6:06:77:61,-74,2.412
ETcTI,00:1D:60:19:98:D4,-68,2.412
AC_guest,A0:AB:1B:7A:95:B6,-90,2.462
A304,98:DA:C4:3F:10:A7,-72,2.462
Consiliu,00:1F:CF:11:76:CC,-64,2.437
B714,00:1F:CF:11:7F:56,-70,2.437
A108_2.4G,9C:53:22:7E:C3:BA,-72,2.427
AIA,98:DA:C4:3F:1E:FF,-98,2.437
WETC-B128,76:D0:2B:9B:FF:B3,-78,2.437
POWER-EA,74:D0:2B:9B:FF:B2,-75,2.437
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-100,2.427
1e790931,F4:91:1E:79:09:31,-72,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-68,2.412
AIA,70:4C:A5:C8:ED:F2,-73,2.412
