SSID,BSSID,RSSI,Frequency(MHz)
Telekom-xjioCm,70:0B:01:05:B7:51,-76,2.472
Stand_3_Siemens,00:1E:42:16:CB:CA,-65,2.462
B129,A0:F3:C1:6A:30:36,-74,2.462
studcm,C0:C1:C0:D1:DB:68,-64,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-76,2.462
Off Limits2,B4:0F:3B:6E:D9:51,-6,2.462
android027,00:24:01:E7:63:35,-64,2.472
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-91,2.457
DCTI-PUBLIC,E0:1C:FC:94:19:32,-63,2.432
DCTI-PUBLIC,E0:1C:FC:94:19:1D,-68,2.427
B329,E8:48:B8:64:B6:C3,-56,2.422
B714,00:1F:CF:11:7F:56,-54,2.437
Consiliu,00:1F:CF:11:76:CC,-72,2.437
Etc_A205,30:16:9D:6D:62:04,-64,2.457
DecanatET_Guest,EA:C3:2A:C9:28:BA,-75,2.452
DCTI-PUBLIC,E0:1C:FC:94:19:23,-60,2.442
AIA,98:DA:C4:3F:1E:FF,-58,2.437
Tenda_709990,B4:0F:3B:70:99:94,-60,2.422
POWER-EA,74:D0:2B:9B:FF:B2,-66,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-68,2.412
StaffCM,04:95:E6:06:77:61,-56,2.412
AIA,70:4C:A5:C8:ED:F2,-68,2.412
RG60SE_A6,00:1F:CF:11:83:08,-74,2.437
WETC32,00:1F:CF:11:76:C4,-68,2.437
TP-LINK_A2,B0:48:7A:B2:59:38,-74,2.412
ETcTI,00:1D:60:19:98:D4,-61,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-68,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-59,2.412
SACI-A109-2G,18:31:BF:64:EB:A8,-66,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
OpenWrt,00:18:E7:89:72:29,-70,2.462
