SSID,BSSID,RSSI,Frequency(MHz)
OpenWrt,00:18:E7:89:72:29,-65,2.462
android027,00:24:01:E7:63:35,-84,2.472
AC-Guest,A0:AB:1B:7A:96:C8,-68,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
Etc_A205,30:16:9D:6D:62:04,-81,2.457
uetm,F0:2F:74:2C:C0:30,-64,2.447
studcm,C0:C1:C0:D1:DB:68,-71,2.462
DecanatET,E4:C3:2A:C9:29:C2,-74,2.452
uetm_guest,7A:2F:74:2C:C0:31,-62,2.447
DecanatET,E4:C3:2A:C9:28:BA,-83,2.452
DecanatET_Guest,EA:C3:2A:C9:28:BA,-78,2.452
uetm,F0:2F:74:2D:33:01,-77,2.447
Consiliu,00:1F:CF:11:76:CC,-64,2.437
B714,00:1F:CF:11:7F:56,-69,2.437
Electronica1,34:60:F9:A8:05:92,-68,2.422
ETcTI,00:1D:60:19:98:D4,-69,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-71,2.412
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-84,2.417
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-64,2.417
PowerTheWorld2,00:23:CD:18:8C:64,-80,2.447
RG60SE_A6,00:1F:CF:11:83:08,-84,2.437
1e790931,F4:91:1E:79:09:31,-73,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-74,2.412
