SSID,BSSID,RSSI,Frequency(MHz)
A304,98:DA:C4:3F:10:A7,-71,2.462
B129,A0:F3:C1:6A:30:36,-64,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-72,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-64,2.462
Tenda_709990,B4:0F:3B:70:99:94,-54,2.422
Etc_A205,30:16:9D:6D:62:04,-62,2.457
DCTI-PUBLIC,E0:1C:FC:94:19:32,-59,2.432
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-20,2.457
studcm,C0:C1:C0:D1:DB:68,-57,2.462
DecanatET_Guest,EA:C3:2A:C9:29:C2,-67,2.452
B029,A8:42:A1:69:A0:56,-64,2.447
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-98,2.447
WETC32,00:1F:CF:11:76:C4,-65,2.437
Consiliu,00:1F:CF:11:76:CC,-64,2.437
B714,00:1F:CF:11:7F:56,-67,2.437
StaffCM,04:95:E6:06:77:61,-56,2.412
B329,E8:48:B8:64:B6:C3,-60,2.422
B424,34:0A:33:7E:31:5C,-69,2.462
UPT-eduroam,24:DE:C6:9E:F2:D0,-6,2.462
B624,B4:F1:8C:B7:93:C0,-70,2.437
AIA,70:4C:A5:C8:ED:F2,-61,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-58,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-58,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-67,2.412
