ssid,bssid,x_marker,y_marker
HUAWEI P9 lite,A8:C8:3A:05:17:C7,17,4
CVR-8e125f44,68:A9:B6:4C:9C:87,18,1
Timisoara_AP,00:0C:43:86:48:24,19,4
HUAWEI Y6 2019,06:8C:9A:C0:F3:AA,18,3
O retea,D6:E6:B7:44:D9:1F,19,1
70mai_M500_408c,44:27:F3:6C:40:8C,19,1
Smartphone_connect_9d0d2f,CE:57:63:9D:0D:2F,19,3
Audi_MMI_4912,5A:E4:03:F2:35:C6,19,3
70mai_A200_9e80,B8:59:C8:00:9E:80,20,3
Galaxy A417929,A6:3A:88:02:EB:5A,11,3
Razvan,9A:38:AF:76:A3:38,2,3
Redmi Note 11 Pro 5G,B2:9E:91:D6:C1:BD,2,2
70mai_Pro Plus+_e594,44:27:F3:A6:E5:94,2,3
Smartphone_connect_6758fb,CE:57:63:67:58:FB,5,3
70mai_X200_9a16,44:27:F3:75:9A:16,20,2
Galaxy A12B5F2,36:B9:0F:09:6A:01,20,1
WiFi_STPTFEB4,20:97:27:2A:FE:B4,20,3
Redmi 13C,CE:EA:14:56:3E:E8,20,3
Cameradebord,CC:B8:5E:13:DA:BD,21,2
OK309Cam-CFIS6202,0C:C1:19:50:FC:85,21,3
DIRECT-F4-HP Smart Tank 710-720,E2:70:EA:02:0C:F4,26,2
cm,C0:C1:C0:D1:E8:33,23,3
WiFi_STPT753A,20:97:27:20:75:3A,24,3
My VW 5760,DA:10:68:0E:F9:E8,24,3
Galaxy A14 ca59,BE:57:84:0D:25:6D,25,1
70mai_M200_61ef,BC:FD:0C:94:61:EF,25,3
OK309Cam-37B36302,CC:B8:5E:14:C3:2E,27,3
B020,C8:D7:19:EA:E4:77,28,1
T,E8:65:D4:EA:BD:61,28,5
My Skoda 3593,D2:40:EF:CC:25:30,29,5
Telekom-xjioCm,70:0B:01:05:B7:51,30,2
TP-LINK_AP_FB26,60:E3:27:7B:FB:26,29,1
SYNC_XV45HYYH,00:26:B4:EB:5C:BC,29,5
Razvanâ€™s iPhone,6E:9A:FC:EB:77:6E,4,2
Audi_MMI_0168,CC:C0:79:97:E5:35,4,3
70mai_d06_a16d,2C:05:47:9F:A1:6D,4,3
WiFi_STPTF085,20:97:27:28:F0:85,4,2
70mai_A510_97a8,B8:59:C8:02:97:A8,4,3
VILLA MIHAI VITEAZU 1,C2:25:2F:2A:17:7E,30,2
70mai_A810_d0b4,44:27:F3:8D:D0:B4,4,3
My VW 4601,12:32:2C:62:8C:DF,5,1
70mai_M300_ab4b,2C:05:47:9E:AB:4B,5,4
Audi_MMI_8857,D4:CA:6E:32:EE:C6,5,5
WiFi_STPT0E9C,20:97:27:21:0E:9C,6,4
Audi_MMI_4482,12:E8:A7:08:8D:CB,7,2
WiFi_STPT469B,20:97:27:29:46:9B,9,3
