SSID,BSSID,RSSI,Frequency(MHz)
OpenWrt,00:18:E7:89:72:29,-72,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-67,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-21,2.462
A304,98:DA:C4:3F:10:A7,-20,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-61,2.462
android027,00:24:01:E7:63:35,-78,2.472
WETC-B128,76:D0:2B:9B:FF:B3,-73,2.462
AIA,98:DA:C4:3F:1E:FF,-78,2.437
Consiliu,00:1F:CF:11:76:CC,-66,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-22,2.437
AC-Guest,A0:AB:1B:7A:96:C8,-64,2.462
studcm,C0:C1:C0:D1:DB:68,-73,2.462
DecanatET,E4:C3:2A:C9:28:BA,-76,2.452
DecanatET_Guest,EA:C3:2A:C9:28:BA,-72,2.452
DecanatET,E4:C3:2A:C9:29:C2,-62,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-66,2.452
uetm_guest,7A:2F:74:2C:C0:31,-65,2.447
uetm,F0:2F:74:2C:C0:30,-11,2.447
StaffCM,04:95:E6:06:77:61,-74,2.442
ETcTI,00:1D:60:19:98:D4,-64,2.412
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-74,2.417
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-60,2.417
UPT-eduroam,D8:C7:C8:04:70:20,-100,2.437
SACI-A107a-2G,18:31:BF:64:EB:E8,-65,2.412
AIA,70:4C:A5:C8:ED:F2,-72,2.412
B129,A0:F3:C1:6A:30:36,-94,2.462
Tenda_709990,B4:0F:3B:70:99:94,-67,2.452
