SSID,BSSID,RSSI,Frequency(MHz)
AC-Guest,A0:AB:1B:7A:96:C8,-71,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-76,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-92,2.462
OpenWrt,00:18:E7:89:72:29,-75,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-59,2.462
AIA,98:DA:C4:3F:1E:FF,-73,2.437
Consiliu,00:1F:CF:11:76:CC,-66,2.437
Etc_A205,30:16:9D:6D:62:04,-64,2.457
B029,A8:42:A1:69:A0:56,-82,2.447
B329,E8:48:B8:64:B6:C3,-60,2.452
uetm_guest,7A:2F:74:2C:C0:31,-65,2.447
uetm,F0:2F:74:2D:33:01,-69,2.447
uetm,F0:2F:74:2C:C0:30,-69,2.447
StaffCM,04:95:E6:06:77:61,-72,2.442
Tenda_709990,B4:0F:3B:70:99:94,-70,2.452
B714,00:1F:CF:11:7F:56,-70,2.437
WiFi_STPT457F,20:97:27:2E:45:7F,-82,2.417
SACI-A107a-2G,18:31:BF:64:EB:E8,-63,2.412
A108_2.4G,9C:53:22:7E:C3:BA,-72,2.427
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-55,2.417
ETcTI,00:1D:60:19:98:D4,-60,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-74,2.412
Electronica1,34:60:F9:A8:05:92,-63,2.422
Stand_3_Siemens,00:1E:42:16:CB:CA,-76,2.462
A304,98:DA:C4:3F:10:A7,-73,2.462
