SSID,BSSID,RSSI,Frequency(MHz)
AC-Guest,A0:AB:1B:7A:96:C8,-76,2.462
android027,00:24:01:E7:63:35,-82,2.472
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
OpenWrt,00:18:E7:89:72:29,-68,2.462
DCTI-PUBLIC,E0:1C:FC:94:13:77,-82,2.472
studcm,C0:C1:C0:D1:DB:68,-69,2.462
A108_2.4G,9C:53:22:7E:C3:BA,-62,2.427
A_306,F8:D1:11:41:11:BC,-76,2.437
Lab TFI,50:D4:F7:BB:C8:85,-72,2.427
Etc_A205,30:16:9D:6D:62:04,-63,2.457
AIA,98:DA:C4:3F:1E:FF,-76,2.437
Consiliu,00:1F:CF:11:76:CC,-64,2.437
uetm,F0:2F:74:2C:C0:30,-58,2.447
uetm,F0:2F:74:2D:33:01,-62,2.447
DecanatET_Guest,EA:C3:2A:C9:29:C2,-67,2.452
uetm_guest,7A:2F:74:2C:C0:31,-60,2.447
Tenda_709990,B4:0F:3B:70:99:94,-67,2.452
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-58,2.417
WETc-A116,7C:8B:CA:41:0D:D4,-86,2.427
A304,98:DA:C4:3F:10:A7,-68,2.462
DecanatET,E4:C3:2A:C9:29:C2,-94,2.452
B714,00:1F:CF:11:7F:56,-68,2.437
ASUS,54:A0:50:B5:08:90,-82,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-65,2.412
ETcTI,00:1D:60:19:98:D4,-69,2.412
