SSID,BSSID,RSSI,Frequency(MHz)
A304,98:DA:C4:3F:10:A7,-71,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-78,2.462
android027,00:24:01:E7:63:35,-100,2.472
Etc_A205,30:16:9D:6D:62:04,-68,2.457
studcm,C0:C1:C0:D1:DB:68,-76,2.462
OpenWrt,00:18:E7:89:72:29,-61,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-76,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-63,2.462
Consiliu,00:1F:CF:11:76:CC,-65,2.437
LSFETc,74:DA:88:48:48:65,-80,2.432
Electronica1,34:60:F9:A8:05:92,-67,2.422
DecanatET_Guest,EA:C3:2A:C9:28:BA,-76,2.452
uetm_guest,7A:2F:74:2C:C0:31,-65,2.447
DecanatET,E4:C3:2A:C9:29:C2,-79,2.452
Tenda_709990,B4:0F:3B:70:99:94,-62,2.452
uetm,F0:2F:74:2C:C0:30,-61,2.447
uetm,F0:2F:74:2D:33:01,-64,2.447
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-80,2.447
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-82,2.427
UPT-eduroam,24:DE:C6:7C:CA:F0,-72,2.412
ETcTI,00:1D:60:19:98:D4,-66,2.412
ASUS,54:A0:50:B5:08:90,-82,2.412
Lab TFI,50:D4:F7:BB:C8:85,-76,2.427
70mai_Pro Plus+_e594,44:27:F3:A6:E5:94,-71,2.412
Razvan,9A:38:AF:76:A3:38,-85,2.462
BFI_UPT,D8:07:B6:10:F7:38,-80,2.432
WETC-B128,76:D0:2B:9B:FF:B3,-74,2.437
B714,00:1F:CF:11:7F:56,-68,2.437
POWER-EA,74:D0:2B:9B:FF:B2,-76,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-70,2.437
AIA,70:4C:A5:C8:ED:F2,-80,2.412
StaffCM,04:95:E6:06:77:61,-72,2.412
1e790931,F4:91:1E:79:09:31,-72,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-70,2.412
