SSID,BSSID,RSSI,Frequency(MHz)
WETC-B128,76:D0:2B:9B:FF:B3,-78,2.462
android027,00:24:01:E7:63:35,-78,2.472
OpenWrt,00:18:E7:89:72:29,-23,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-72,2.462
A108_2.4G,9C:53:22:7E:C3:BA,-72,2.427
Consiliu,00:1F:CF:11:76:CC,-64,2.437
AC-Guest,A0:AB:1B:7A:96:C8,-65,2.462
Etc_A205,30:16:9D:6D:62:04,-61,2.457
A304,98:DA:C4:3F:10:A7,-73,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-60,2.462
uetm,F0:2F:74:2C:C0:30,-47,2.447
uetm_guest,7A:2F:74:2C:C0:31,-65,2.447
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-82,2.457
uetm,F0:2F:74:2D:33:01,-94,2.447
WETC32,00:1F:CF:11:76:C4,-6,2.437
AIA,98:DA:C4:3F:1E:FF,-75,2.437
UPT-eduroam,24:DE:C6:7C:CA:F0,-70,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-54,2.417
B714,00:1F:CF:11:7F:56,-69,2.437
WiFi_STPT824E,20:97:27:23:82:4E,-68,2.447
AIA,70:4C:A5:C8:ED:F2,-74,2.412
Electronica1,34:60:F9:A8:05:92,-61,2.422
SACI-A107a-2G,18:31:BF:64:EB:E8,-58,2.412
ETcTI,00:1D:60:19:98:D4,-64,2.412
SACI-A109-2G,18:31:BF:64:EB:A8,-74,2.462
UPT-eduroam,24:DE:C6:9E:F2:D0,-100,2.462
DecanatET_Guest,EA:C3:2A:C9:28:BA,-22,2.452
