SSID,BSSID,RSSI,Frequency(MHz)
Stand_3_Siemens,00:1E:42:16:CB:CA,-26,2.462
OpenWrt,00:18:E7:89:72:29,-57,2.462
android027,00:24:01:E7:63:35,-6,2.472
UPT-eduroam,24:DE:C6:9C:74:A0,-70,2.462
studcm,C0:C1:C0:D1:DB:68,-67,2.462
B714,00:1F:CF:11:7F:56,-70,2.437
Redmi Note 13 Pro 5G,6E:46:71:59:BA:6A,-74,2.437
A304,98:DA:C4:3F:10:A7,-62,2.462
Etc_A205,30:16:9D:6D:62:04,-56,2.457
DecanatET_Guest,EA:C3:2A:C9:28:BA,-65,2.452
B329,E8:48:B8:64:B6:C3,-68,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-62,2.452
DecanatET,E4:C3:2A:C9:29:C2,-59,2.452
Tenda_709990,B4:0F:3B:70:99:94,-58,2.452
Electronica1,34:60:F9:A8:05:92,-54,2.422
Consiliu,00:1F:CF:11:76:CC,-68,2.437
StaffCM,04:95:E6:06:77:61,-64,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-54,2.417
UPT-eduroam,24:DE:C6:7C:CA:F0,-64,2.412
UPT-eduroam,24:DE:C6:9E:F2:D0,-89,2.462
WETC32,00:1F:CF:11:76:C4,-80,2.437
uetm,F0:2F:74:2D:33:01,-68,2.447
AIA,98:DA:C4:3F:1E:FF,-69,2.437
AIA,70:4C:A5:C8:ED:F2,-88,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-70,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-72,2.412
ETcTI,00:1D:60:19:98:D4,-66,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-61,2.412
