SSID,BSSID,RSSI,Frequency(MHz)
OpenWrt,00:18:E7:89:72:29,-73,2.462
android027,00:24:01:E7:63:35,-84,2.472
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-69,2.462
WETC-B128,76:D0:2B:9B:FF:B3,-82,2.462
B129,A0:F3:C1:6A:30:36,-76,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-61,2.462
studcm,C0:C1:C0:D1:DB:68,-74,2.462
A108_2.4G,9C:53:22:7E:C3:BA,-64,2.427
DecanatET,E4:C3:2A:C9:28:BA,-10,2.452
Electronica1,34:60:F9:A8:05:92,-64,2.422
Tenda_709990,B4:0F:3B:70:99:94,-68,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-74,2.452
DecanatET,E4:C3:2A:C9:29:C2,-63,2.452
uetm,F0:2F:74:2D:33:01,-71,2.447
uetm,F0:2F:74:2C:C0:30,-38,2.447
DecanatET_Guest,EA:C3:2A:C9:28:BA,-67,2.452
Consiliu,00:1F:CF:11:76:CC,-62,2.437
StaffCM,04:95:E6:06:77:61,-67,2.442
uetm_guest,7A:2F:74:2C:C0:31,-64,2.447
B029,A8:42:A1:69:A0:56,-6,2.447
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-82,2.427
Lab TFI,50:D4:F7:BB:C8:85,-68,2.427
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-60,2.417
B329,E8:48:B8:64:B6:C3,-69,2.417
ETcTI,00:1D:60:19:98:D4,-64,2.412
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-76,2.417
LIGA_AC_HQ,C8:7F:54:58:EB:60,-78,2.417
A_306,F8:D1:11:41:11:BC,-78,2.437
B714,00:1F:CF:11:7F:56,-70,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-40,2.437
WETC32,00:1F:CF:11:76:C4,-82,2.437
MB Hotspot 22655,9E:8D:7C:91:3D:96,-78,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-64,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-71,2.412
UPT-eduroam,24:DE:C6:9E:F0:B0,-78,2.412
SACI-A109-2G,18:31:BF:64:EB:A8,-35,2.462
A304,98:DA:C4:3F:10:A7,-39,2.462
