SSID,BSSID,RSSI,Frequency(MHz)
android027,00:24:01:E7:63:35,-84,2.472
OpenWrt,00:18:E7:89:72:29,-68,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-71,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-82,2.462
Off Limits2,B4:0F:3B:6E:D9:51,-80,2.462
studcm,C0:C1:C0:D1:DB:68,-71,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-96,2.437
DecanatET,E4:C3:2A:C9:29:C2,-75,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-76,2.452
Electronica1,34:60:F9:A8:05:92,-67,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-62,2.417
ETcTI,00:1D:60:19:98:D4,-64,2.412
LIGA_AC_HQ,C8:7F:54:58:EB:60,-80,2.417
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-80,2.417
Etc_A205,30:16:9D:6D:62:04,-75,2.457
A304,98:DA:C4:3F:10:A7,-71,2.462
Galaxy A417929,A6:3A:88:02:EB:5A,-72,2.437
B714,00:1F:CF:11:7F:56,-68,2.437
Consiliu,00:1F:CF:11:76:CC,-66,2.437
AIA,98:DA:C4:3F:1E:FF,-100,2.437
UPT-eduroam,D8:C7:C8:04:70:20,-88,2.412
1e790931,F4:91:1E:79:09:31,-72,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-64,2.412
