SSID,BSSID,RSSI,Frequency(MHz)
OpenWrt,00:18:E7:89:72:29,-78,2.462
DCTI-PUBLIC,E0:1C:FC:94:13:77,-78,2.472
UPT-eduroam,24:DE:C6:9C:74:A0,-68,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-74,2.462
studcm,C0:C1:C0:D1:DB:68,-74,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-72,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-61,2.462
Audi_MMI_3294,74:6F:F7:B9:C1:A4,-82,2.462
DCTI-PUBLIC,E0:1C:FC:94:19:32,-74,2.432
Etc_A205,30:16:9D:6D:62:04,-68,2.457
uetm,F0:2F:74:2D:33:01,-97,2.447
uetm,F0:2F:74:2C:C0:30,-67,2.447
Consiliu,00:1F:CF:11:76:CC,-71,2.437
uetm_guest,7A:2F:74:2C:C0:31,-64,2.447
StaffCM,04:95:E6:06:77:61,-70,2.442
ETcTI,00:1D:60:19:98:D4,-64,2.412
Electronica1,34:60:F9:A8:05:92,-68,2.422
UPT-eduroam,24:DE:C6:9E:F0:B0,-73,2.412
B329,E8:48:B8:64:B6:C3,-70,2.417
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-62,2.417
WETC32,00:1F:CF:11:76:C4,-78,2.437
AIA,98:DA:C4:3F:1E:FF,-74,2.437
B714,00:1F:CF:11:7F:56,-68,2.437
SACI-A107a-2G,18:31:BF:64:EB:E8,-66,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-73,2.412
1e790931,F4:91:1E:79:09:31,-84,2.412
Etc_A316_2.4G,40:AE:30:44:8C:13,-84,2.452
WETC-B128,76:D0:2B:9B:FF:B3,-78,2.462
A304,98:DA:C4:3F:10:A7,-69,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-72,2.462
