SSID,BSSID,RSSI,Frequency(MHz)
Stand_3_Siemens,00:1E:42:16:CB:CA,-70,2.462
android027,00:24:01:E7:63:35,-72,2.472
B424,34:0A:33:7E:31:5C,-72,2.462
studcm,C0:C1:C0:D1:DB:68,-58,2.462
Etc_A205,30:16:9D:6D:62:04,-63,2.457
B129,A0:F3:C1:6A:30:36,-60,2.462
WETC32,00:1F:CF:11:76:C4,-64,2.437
DecanatET_Guest,EA:C3:2A:C9:29:C2,-68,2.452
A108_2.4G,9C:53:22:7E:C3:BA,-58,2.427
B329,E8:48:B8:64:B6:C3,-57,2.422
AIA,98:DA:C4:3F:1E:FF,-65,2.437
DecanatET,E4:C3:2A:C9:28:BA,-72,2.452
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-71,2.447
POWER-EA,74:D0:2B:9B:FF:B2,-65,2.437
WETC-B128,76:D0:2B:9B:FF:B3,-72,2.437
Tenda_709990,B4:0F:3B:70:99:94,-56,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-60,2.417
StaffCM,04:95:E6:06:77:61,-56,2.412
UPT-eduroam,D8:C7:C8:04:70:20,-10,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-65,2.462
Consiliu,00:1F:CF:11:76:CC,-63,2.437
1e790931,F4:91:1E:79:09:31,-84,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-82,2.412
AIA,70:4C:A5:C8:ED:F2,-60,2.412
ETcTI,00:1D:60:19:98:D4,-66,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-56,2.412
