SSID,BSSID,RSSI,Frequency(MHz)
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-58,2.462
studcm,C0:C1:C0:D1:DB:68,-59,2.462
B129,A0:F3:C1:6A:30:36,-72,2.462
uetm_guest,7A:2F:74:2C:C0:31,-68,2.447
DCTI-PUBLIC,E0:1C:FC:94:19:23,-62,2.442
AIA,98:DA:C4:3F:1E:FF,-63,2.437
B029,A8:42:A1:69:A0:56,-72,2.447
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-73,2.447
Consiliu,00:1F:CF:11:76:CC,-73,2.437
B329,E8:48:B8:64:B6:C3,-60,2.422
decanat-ac,BC:0F:9A:5B:0B:76,-72,2.412
Tenda_709990,B4:0F:3B:70:99:94,-57,2.422
SACI-A107a-2G,18:31:BF:64:EB:E8,-69,2.412
A_306,F8:D1:11:41:11:BC,-67,2.437
UPT-eduroam,24:DE:C6:7C:CA:F0,-61,2.412
AIA,70:4C:A5:C8:ED:F2,-60,2.412
StaffCM,04:95:E6:06:77:61,-58,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-72,2.412
SACI-A109-2G,18:31:BF:64:EB:A8,-65,2.462
B424,34:0A:33:7E:31:5C,-73,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-76,2.462
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-66,2.457
ContiLAB,04:95:E6:89:EC:42,-8,2.462
