SSID,BSSID,RSSI,Frequency(MHz)
android027,00:24:01:E7:63:35,-79,2.472
DCTI-PUBLIC,E0:1C:FC:94:13:77,-83,2.472
Etc_A205,30:16:9D:6D:62:04,-76,2.457
OpenWrt,00:18:E7:89:72:29,-60,2.462
Electronica1,34:60:F9:A8:05:92,-77,2.422
studcm,C0:C1:C0:D1:DB:68,-73,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-70,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-84,2.462
AIA,98:DA:C4:3F:1E:FF,-76,2.437
Consiliu,00:1F:CF:11:76:CC,-66,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-82,2.437
DecanatET_Guest,EA:C3:2A:C9:29:C2,-68,2.452
uetm_guest,7A:2F:74:2C:C0:31,-73,2.447
DecanatET,E4:C3:2A:C9:29:C2,-68,2.452
uetm,F0:2F:74:2D:33:01,-71,2.447
Tenda_709990,B4:0F:3B:70:99:94,-68,2.452
uetm,F0:2F:74:2C:C0:30,-66,2.447
StaffCM,04:95:E6:06:77:61,-71,2.442
DecanatET_Guest,EA:C3:2A:C9:28:BA,-78,2.452
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-61,2.417
B329,E8:48:B8:64:B6:C3,-63,2.417
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-84,2.427
1e790931,F4:91:1E:79:09:31,-82,2.412
ETcTI,00:1D:60:19:98:D4,-64,2.412
Lab TFI,50:D4:F7:BB:C8:85,-74,2.427
WETC-B128,76:D0:2B:9B:FF:B3,-81,2.462
WETC32,00:1F:CF:11:76:C4,-82,2.437
A_306,F8:D1:11:41:11:BC,-80,2.437
B714,00:1F:CF:11:7F:56,-72,2.437
AIA,70:4C:A5:C8:ED:F2,-84,2.412
