SSID,BSSID,RSSI,Frequency(MHz)
Off Limits2,B4:0F:3B:6E:D9:51,-78,2.462
A304,98:DA:C4:3F:10:A7,-72,2.462
Telekom-xjioCm,70:0B:01:05:B7:51,-96,2.472
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-63,2.462
android027,00:24:01:E7:63:35,-22,2.472
Etc_A205,30:16:9D:6D:62:04,-66,2.457
DCTI-PUBLIC,E0:1C:FC:94:19:23,-58,2.442
DCTI-PUBLIC,E0:1C:FC:94:19:32,-62,2.432
studcm,C0:C1:C0:D1:DB:68,-66,2.462
Electronica1,34:60:F9:A8:05:92,-70,2.422
Tenda_709990,B4:0F:3B:70:99:94,-56,2.422
B714,00:1F:CF:11:7F:56,-56,2.437
SACI-A109-2G,18:31:BF:64:EB:A8,-70,2.462
uetm,F0:2F:74:2C:C0:30,-76,2.447
uetm_guest,7A:2F:74:2C:C0:31,-70,2.447
B029,A8:42:A1:69:A0:56,-72,2.447
AIA,98:DA:C4:3F:1E:FF,-67,2.437
uetm,F0:2F:74:2D:33:01,-71,2.447
B329,E8:48:B8:64:B6:C3,-57,2.422
StaffCM,04:95:E6:06:77:61,-56,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-68,2.412
RG60SE_A6,00:1F:CF:11:83:08,-75,2.437
ETcTI,00:1D:60:19:98:D4,-59,2.412
B424,34:0A:33:7E:31:5C,-72,2.462
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-70,2.457
