SSID,BSSID,RSSI,Frequency(MHz)
Off Limits2,B4:0F:3B:6E:D9:51,-76,2.462
Etc_A205,30:16:9D:6D:62:04,-62,2.457
Stand_3_Siemens,00:1E:42:16:CB:CA,-47,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-65,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-75,2.462
DCTI-PUBLIC,E0:1C:FC:94:19:32,-58,2.432
DecanatET_Guest,EA:C3:2A:C9:29:C2,-73,2.452
DecanatET,E4:C3:2A:C9:28:BA,-78,2.452
uetm_guest,7A:2F:74:2C:C0:31,-73,2.447
B029,A8:42:A1:69:A0:56,-77,2.447
uetm,F0:2F:74:2C:C0:30,-72,2.447
DecanatET,E4:C3:2A:C9:29:C2,-65,2.452
uetm,F0:2F:74:2D:33:01,-12,2.447
DCTI-PUBLIC,E0:1C:FC:94:19:23,-63,2.442
B714,00:1F:CF:11:7F:56,-60,2.437
AIA,98:DA:C4:3F:1E:FF,-62,2.437
SACI-A107a-2G,18:31:BF:64:EB:E8,-68,2.412
StaffCM,04:95:E6:06:77:61,-57,2.412
Electronica1,34:60:F9:A8:05:92,-74,2.422
AIA,70:4C:A5:C8:ED:F2,-68,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-61,2.412
Consiliu,00:1F:CF:11:76:CC,-67,2.437
WETC32,00:1F:CF:11:76:C4,-65,2.437
A_306,F8:D1:11:41:11:BC,-78,2.437
ETcTI,00:1D:60:19:98:D4,-64,2.412
A304,98:DA:C4:3F:10:A7,-78,2.462
DecanatET_Guest,EA:C3:2A:C9:28:BA,-78,2.452
B424,34:0A:33:7E:31:5C,-70,2.462
studcm,C0:C1:C0:D1:DB:68,-62,2.462
B129,A0:F3:C1:6A:30:36,-70,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-12,2.462
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-65,2.457
