SSID,BSSID,RSSI,Frequency(MHz)
A304,98:DA:C4:3F:10:A7,-76,2.462
B129,A0:F3:C1:6A:30:36,-66,2.462
studcm,C0:C1:C0:D1:DB:68,-59,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-60,2.462
AIA,98:DA:C4:3F:1E:FF,-63,2.437
B329,E8:48:B8:64:B6:C3,-57,2.422
DecanatET_Guest,EA:C3:2A:C9:29:C2,-68,2.452
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-71,2.447
Consiliu,00:1F:CF:11:76:CC,-68,2.437
DecanatET_Guest,EA:C3:2A:C9:28:BA,-74,2.452
DecanatET,E4:C3:2A:C9:29:C2,-70,2.452
B029,A8:42:A1:69:A0:56,-68,2.447
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-6,2.457
Tenda_709990,B4:0F:3B:70:99:94,-52,2.422
StaffCM,04:95:E6:06:77:61,-56,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-56,2.412
A_306,F8:D1:11:41:11:BC,-70,2.437
B714,00:1F:CF:11:7F:56,-74,2.437
B624,B4:F1:8C:B7:93:C0,-72,2.437
WETC32,00:1F:CF:11:76:C4,-64,2.437
WETC-B128,76:D0:2B:9B:FF:B3,-57,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-62,2.412
AIA,70:4C:A5:C8:ED:F2,-56,2.412
