SSID,BSSID,RSSI,Frequency(MHz)
B424,34:0A:33:7E:31:5C,-84,2.462
DCTI-PUBLIC,E0:1C:FC:94:13:77,-6,2.472
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-64,2.462
WETC-B128,76:D0:2B:9B:FF:B3,-72,2.462
OpenWrt,00:18:E7:89:72:29,-66,2.462
Etc_A205,30:16:9D:6D:62:04,-74,2.457
Stand_3_Siemens,00:1E:42:16:CB:CA,-82,2.462
LSFETc,74:DA:88:48:48:65,-80,2.432
AIA,98:DA:C4:3F:1E:FF,-74,2.437
studcm,C0:C1:C0:D1:DB:68,-69,2.462
DecanatET_Guest,EA:C3:2A:C9:29:C2,-69,2.452
uetm,F0:2F:74:2C:C0:30,-67,2.447
uetm,F0:2F:74:2D:33:01,-62,2.447
DecanatET_Guest,EA:C3:2A:C9:28:BA,-82,2.452
Tenda_709990,B4:0F:3B:70:99:94,-6,2.452
uetm_guest,7A:2F:74:2C:C0:31,-66,2.447
DecanatET,E4:C3:2A:C9:29:C2,-6,2.452
WiFi_STPT0E9C,20:97:27:21:0E:9C,-62,2.427
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-62,2.417
Electronica1,34:60:F9:A8:05:92,-62,2.422
B329,E8:48:B8:64:B6:C3,-70,2.417
ETcTI,00:1D:60:19:98:D4,-61,2.412
B029,A8:42:A1:69:A0:56,-86,2.447
Consiliu,00:1F:CF:11:76:CC,-68,2.437
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-82,2.417
UPT-eduroam,24:DE:C6:9E:F8:E0,-78,2.412
1e790931,F4:91:1E:79:09:31,-76,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-63,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-69,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-70,2.462
