SSID,BSSID,RSSI,Frequency(MHz)
AC_guest,A0:AB:1B:7A:95:B6,-78,2.462
B424,34:0A:33:7E:31:5C,-96,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-74,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-65,2.462
Etc_A205,30:16:9D:6D:62:04,-67,2.457
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
OpenWrt,00:18:E7:89:72:29,-72,2.462
70mai_M500_408c,44:27:F3:6C:40:8C,-64,2.432
AIA,98:DA:C4:3F:1E:FF,-69,2.437
Consiliu,00:1F:CF:11:76:CC,-53,2.437
SACI-A109-2G,18:31:BF:64:EB:A8,-18,2.462
DIRECT-DC-HP Laser 137fnw,B2:22:7A:52:28:DC,-78,2.452
DecanatET,E4:C3:2A:C9:29:C2,-65,2.452
DecanatET_Guest,EA:C3:2A:C9:28:BA,-70,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-62,2.452
DecanatET,E4:C3:2A:C9:28:BA,-68,2.452
WETc-A116,7C:8B:CA:41:0D:D4,-80,2.427
A108_2.4G,9C:53:22:7E:C3:BA,-61,2.427
Lab TFI,50:D4:F7:BB:C8:85,-72,2.427
Electronica1,34:60:F9:A8:05:92,-62,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-58,2.417
StaffCM,04:95:E6:06:77:61,-64,2.412
ETcTI,00:1D:60:19:98:D4,-68,2.412
A_306,F8:D1:11:41:11:BC,-70,2.437
RG60SE_A6,00:1F:CF:11:83:08,-66,2.437
SACI-A107a-2G,18:31:BF:64:EB:E8,-64,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-72,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-73,2.412
AIA,70:4C:A5:C8:ED:F2,-78,2.412
