SSID,BSSID,RSSI,Frequency(MHz)
AC-Guest,A0:AB:1B:7A:96:C8,-71,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-64,2.462
A304,98:DA:C4:3F:10:A7,-69,2.462
WETC-B128,76:D0:2B:9B:FF:B3,-77,2.462
studcm,C0:C1:C0:D1:DB:68,-76,2.462
Etc_A205,30:16:9D:6D:62:04,-69,2.457
Tenda_6176,58:D9:D5:00:61:76,-82,2.467
DCTI-PUBLIC,E0:1C:FC:94:19:23,-79,2.442
LSFETc,74:DA:88:48:48:65,-78,2.432
DCTI-PUBLIC,E0:1C:FC:94:19:32,-6,2.432
WiFi_STPTF085,20:97:27:28:F0:85,-20,2.427
Tenda_709990,B4:0F:3B:70:99:94,-71,2.452
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-63,2.462
DecanatET,E4:C3:2A:C9:29:C2,-73,2.452
uetm_guest,7A:2F:74:2C:C0:31,-70,2.447
uetm,F0:2F:74:2C:C0:30,-53,2.447
uetm,F0:2F:74:2D:33:01,-68,2.447
DecanatET_Guest,EA:C3:2A:C9:29:C2,-73,2.452
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-83,2.437
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-63,2.417
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-79,2.427
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-84,2.417
Electronica1,34:60:F9:A8:05:92,-61,2.422
ETcTI,00:1D:60:19:98:D4,-68,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-80,2.462
70mai_A510_97a8,B8:59:C8:02:97:A8,-79,2.412
OpenWrt,00:18:E7:89:72:29,-68,2.462
AIA,98:DA:C4:3F:1E:FF,-74,2.437
Consiliu,00:1F:CF:11:76:CC,-68,2.437
B714,00:1F:CF:11:7F:56,-68,2.437
StaffCM,04:95:E6:06:77:61,-72,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-68,2.412
