SSID,BSSID,RSSI,Frequency(MHz)
SACI-A109-2G,18:31:BF:64:EB:A8,-76,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-69,2.462
studcm,C0:C1:C0:D1:DB:68,-72,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-63,2.462
CONFERENCE,84:D4:7E:2A:7E:60,-84,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-71,2.437
Etc_A205,30:16:9D:6D:62:04,-64,2.457
uetm,F0:2F:74:2C:C0:30,-67,2.447
uetm_guest,7A:2F:74:2C:C0:31,-69,2.447
Tenda_709990,B4:0F:3B:70:99:94,-64,2.452
DecanatET,E4:C3:2A:C9:29:C2,-70,2.452
DecanatET,E4:C3:2A:C9:28:BA,-78,2.452
Consiliu,00:1F:CF:11:76:CC,-68,2.437
OpenWrt,00:18:E7:89:72:29,-67,2.462
B714,00:1F:CF:11:7F:56,-72,2.437
DecanatET_Guest,EA:C3:2A:C9:29:C2,-70,2.452
AIA,70:4C:A5:C8:ED:F2,-72,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-68,2.417
StaffCM,04:95:E6:06:77:61,-64,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-80,2.437
AIA,98:DA:C4:3F:1E:FF,-20,2.437
UPT-eduroam,24:DE:C6:9E:F8:E0,-74,2.412
B329,E8:48:B8:64:B6:C3,-73,2.417
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-82,2.417
1e790931,F4:91:1E:79:09:31,-69,2.412
ETcTI,00:1D:60:19:98:D4,-70,2.412
CONFERENCE,84:D4:7E:2A:81:80,-82,2.412
Stand_3_Siemens,00:1E:42:16:CB:CA,-82,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-65,2.462
UPT-eduroam,24:DE:C6:9C:58:B0,-18,2.462
