SSID,BSSID,RSSI,Frequency(MHz)
A304,98:DA:C4:3F:10:A7,-63,2.462
studcm,C0:C1:C0:D1:DB:68,-6,2.462
B129,A0:F3:C1:6A:30:36,-6,2.462
DCTI-PUBLIC,E0:1C:FC:94:13:77,-6,2.472
android027,00:24:01:E7:63:35,-74,2.472
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-64,2.462
AC_guest,A0:AB:1B:7A:95:B6,-72,2.462
Etc_A205,30:16:9D:6D:62:04,-62,2.457
B329,E8:48:B8:64:B6:C3,-60,2.452
Tenda_709990,B4:0F:3B:70:99:94,-15,2.452
SACI-A109-2G,18:31:BF:64:EB:A8,-69,2.462
Consiliu,00:1F:CF:11:76:CC,-62,2.437
DecanatET_Guest,EA:C3:2A:C9:29:C2,-62,2.452
uetm,F0:2F:74:2C:C0:30,-69,2.447
DecanatET,E4:C3:2A:C9:29:C2,-61,2.452
uetm_guest,7A:2F:74:2C:C0:31,-73,2.447
Electronica1,34:60:F9:A8:05:92,-59,2.422
ETcTI,00:1D:60:19:98:D4,-59,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-58,2.417
B029,A8:42:A1:69:A0:56,-78,2.447
POWER-EA,74:D0:2B:9B:FF:B2,-74,2.412
StaffCM,04:95:E6:06:77:61,-70,2.412
AIA,98:DA:C4:73:A9:0C,-78,2.437
Redmi Note 13 Pro 5G,6E:46:71:59:BA:6A,-73,2.437
A108_2.4G,9C:53:22:7E:C3:BA,-67,2.427
AIA,98:DA:C4:3F:1E:FF,-71,2.437
decanat-ac,BC:0F:9A:5B:0B:76,-78,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-70,2.412
Vodafone-05856A,B8:D4:BC:05:85:6A,-78,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-66,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-58,2.412
AIA,70:4C:A5:C8:ED:F2,-74,2.412
UPT-eduroam,24:DE:C6:9E:F2:D0,-76,2.462
DIRECT-DC-HP Laser 137fnw,B2:22:7A:52:28:DC,-82,2.452
