SSID,BSSID,RSSI,Frequency(MHz)
SACI-A109-2G,18:31:BF:64:EB:A8,-64,2.462
DCTI-PUBLIC,E0:1C:FC:94:19:32,-68,2.432
WiFi_STPT753A,20:97:27:20:75:3A,-72,2.432
DecanatET,E4:C3:2A:C9:28:BA,-74,2.452
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-72,2.447
uetm,F0:2F:74:2D:33:01,-74,2.447
B029,A8:42:A1:69:A0:56,-67,2.447
DCTI-PUBLIC,E0:1C:FC:94:19:23,-12,2.442
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-64,2.462
WETC-B128,76:D0:2B:9B:FF:B3,-64,2.437
WETC32,00:1F:CF:11:76:C4,-65,2.437
AIA,98:DA:C4:3F:1E:FF,-63,2.437
A_306,F8:D1:11:41:11:BC,-6,2.437
RG60SE_A6,00:1F:CF:11:83:08,-65,2.437
Consiliu,00:1F:CF:11:76:CC,-65,2.437
B329,E8:48:B8:64:B6:C3,-55,2.422
A108_2.4G,9C:53:22:7E:C3:BA,-85,2.427
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-61,2.417
B129,A0:F3:C1:6A:30:36,-65,2.462
studcm,C0:C1:C0:D1:DB:68,-59,2.462
B714,00:1F:CF:11:7F:56,-70,2.437
StaffCM,04:95:E6:06:77:61,-62,2.412
AIA,70:4C:A5:C8:ED:F2,-62,2.412
