SSID,BSSID,RSSI,Frequency(MHz)
android027,00:24:01:E7:63:35,-76,2.472
OpenWrt,00:18:E7:89:72:29,-74,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-76,2.462
A304,98:DA:C4:3F:10:A7,-61,2.462
USER-PC_Network,C8:BE:19:B2:FA:14,-84,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
DecanatET_Guest,EA:C3:2A:C9:28:BA,-76,2.452
StaffCM,04:95:E6:06:77:61,-86,2.442
Electronica1,34:60:F9:A8:05:92,-58,2.422
DCTI-PUBLIC,E0:1C:FC:94:19:32,-67,2.432
Etc_A205,30:16:9D:6D:62:04,-38,2.457
B329,E8:48:B8:64:B6:C3,-68,2.452
uetm,F0:2F:74:2C:C0:30,-58,2.447
uetm_guest,7A:2F:74:2C:C0:31,-61,2.447
uetm,F0:2F:74:2D:33:01,-63,2.447
WETC32,00:1F:CF:11:76:C4,-76,2.437
AIA,98:DA:C4:3F:1E:FF,-72,2.437
Lab TFI,50:D4:F7:BB:C8:85,-83,2.427
AIA,70:4C:A5:C8:ED:F2,-82,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-57,2.417
ETcTI,00:1D:60:19:98:D4,-63,2.412
Tenda_709990,B4:0F:3B:70:99:94,-38,2.452
Stand_3_Siemens,00:1E:42:16:CB:CA,-84,2.462
A_306,F8:D1:11:41:11:BC,-82,2.437
AIA,98:DA:C4:73:A9:0C,-80,2.437
Redmi Note 13 Pro 5G,6E:46:71:59:BA:6A,-70,2.437
B714,00:1F:CF:11:7F:56,-72,2.437
Consiliu,00:1F:CF:11:76:CC,-62,2.437
B029,A8:42:A1:69:A0:56,-78,2.447
decanat-ac,BC:0F:9A:5B:0B:76,-76,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-80,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-64,2.412
