SSID,BSSID,RSSI,Frequency(MHz)
UPT-eduroam,24:DE:C6:9C:74:A0,-70,2.462
OpenWrt,00:18:E7:89:72:29,-76,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-77,2.462
android027,00:24:01:E7:63:35,-76,2.472
B129,A0:F3:C1:6A:30:36,-70,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
A108_2.4G,9C:53:22:7E:C3:BA,-77,2.427
LSFETc,74:DA:88:48:48:65,-100,2.432
A304,98:DA:C4:3F:10:A7,-69,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-70,2.462
uetm_guest,7A:2F:74:2C:C0:31,-67,2.447
uetm,F0:2F:74:2C:C0:30,-64,2.447
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-82,2.457
StaffCM,04:95:E6:06:77:61,-68,2.442
Consiliu,00:1F:CF:11:76:CC,-67,2.437
DecanatET_Guest,EA:C3:2A:C9:28:BA,-77,2.452
Lab TFI,50:D4:F7:BB:C8:85,-70,2.427
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-58,2.417
ETcTI,00:1D:60:19:98:D4,-59,2.412
B329,E8:48:B8:64:B6:C3,-68,2.417
AIA,98:DA:C4:3F:1E:FF,-72,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-80,2.437
B714,00:1F:CF:11:7F:56,-68,2.437
iOT-RIV,22:E8:29:6D:D4:B9,-88,2.437
1e790931,F4:91:1E:79:09:31,-78,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-64,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-72,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-74,2.462
studcm,C0:C1:C0:D1:DB:68,-71,2.462
