SSID,BSSID,RSSI,Frequency(MHz)
Consiliu,00:1F:CF:11:76:CC,-63,2.437
Etc_A205,30:16:9D:6D:62:04,-57,2.457
A108_2.4G,9C:53:22:7E:C3:BA,-58,2.427
DecanatET,E4:C3:2A:C9:29:C2,-64,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-71,2.452
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-70,2.447
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-63,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-68,2.462
AIA,98:DA:C4:3F:1E:FF,-61,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:32,-74,2.432
WETc-A116,7C:8B:CA:41:0D:D4,-72,2.427
B329,E8:48:B8:64:B6:C3,-58,2.422
B424,34:0A:33:7E:31:5C,-72,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-85,2.462
AC_guest,A0:AB:1B:7A:95:B6,-74,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-68,2.462
B129,A0:F3:C1:6A:30:36,-71,2.462
OpenWrt,00:18:E7:89:72:29,-74,2.462
studcm,C0:C1:C0:D1:DB:68,-64,2.462
B714,00:1F:CF:11:7F:56,-72,2.437
A_306,F8:D1:11:41:11:BC,-68,2.437
RG60SE_A6,00:1F:CF:11:83:08,-67,2.437
WETC32,00:1F:CF:11:76:C4,-95,2.437
WETC-B128,76:D0:2B:9B:FF:B3,-66,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-67,2.412
StaffCM,04:95:E6:06:77:61,-58,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-64,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-60,2.412
TP-LINK_A2,B0:48:7A:B2:59:38,-64,2.412
