SSID,BSSID,RSSI,Frequency(MHz)
A304,98:DA:C4:3F:10:A7,-78,2.462
android027,00:24:01:E7:63:35,-84,2.472
Razvan,9A:38:AF:76:A3:38,-86,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-70,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-77,2.462
studcm,C0:C1:C0:D1:DB:68,-73,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-63,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-78,2.462
Etc_A205,30:16:9D:6D:62:04,-72,2.457
AIA,98:DA:C4:3F:1E:FF,-76,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:32,-85,2.432
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-84,2.447
DecanatET_Guest,EA:C3:2A:C9:29:C2,-76,2.452
OpenWrt,00:18:E7:89:72:29,-66,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-73,2.437
uetm,F0:2F:74:2D:33:01,-68,2.447
uetm_guest,7A:2F:74:2C:C0:31,-68,2.447
uetm,F0:2F:74:2C:C0:30,-66,2.447
DecanatET,E4:C3:2A:C9:29:C2,-6,2.452
WETC-B128,76:D0:2B:9B:FF:B3,-76,2.437
Consiliu,00:1F:CF:11:76:CC,-57,2.437
POWER-EA,74:D0:2B:9B:FF:B2,-76,2.437
Smartphone_connect_6758fb,CE:57:63:67:58:FB,-82,2.437
Electronica1,34:60:F9:A8:05:92,-68,2.422
70mai_Pro Plus+_e594,44:27:F3:A6:E5:94,-76,2.412
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-82,2.427
ETcTI,00:1D:60:19:98:D4,-74,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-62,2.417
B129,A0:F3:C1:6A:30:36,-82,2.462
WETC32,00:1F:CF:11:76:C4,-82,2.437
UPT-eduroam,24:DE:C6:9E:F8:E0,-76,2.412
1e790931,F4:91:1E:79:09:31,-76,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-70,2.412
