SSID,BSSID,RSSI,Frequency(MHz)
Stand_3_Siemens,00:1E:42:16:CB:CA,-65,2.462
android027,00:24:01:E7:63:35,-79,2.472
UPT-eduroam,D8:C7:C8:04:70:20,-84,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-64,2.462
A108_2.4G,9C:53:22:7E:C3:BA,-94,2.427
DecanatET_Guest,EA:C3:2A:C9:29:C2,-62,2.452
AIA,98:DA:C4:3F:1E:FF,-61,2.437
DecanatET,E4:C3:2A:C9:29:C2,-68,2.452
studcm,C0:C1:C0:D1:DB:68,-61,2.462
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-69,2.447
B029,A8:42:A1:69:A0:56,-69,2.447
WETC-B128,76:D0:2B:9B:FF:B3,-66,2.437
POWER-EA,74:D0:2B:9B:FF:B2,-68,2.437
WETC32,00:1F:CF:11:76:C4,-70,2.437
Consiliu,00:1F:CF:11:76:CC,-71,2.437
Decanat_Etc,9C:53:22:3A:E5:BC,-58,2.422
B329,E8:48:B8:64:B6:C3,-58,2.422
WiFi_STPT753A,20:97:27:20:75:3A,-70,2.432
Tenda_709990,B4:0F:3B:70:99:94,-66,2.422
B129,A0:F3:C1:6A:30:36,-69,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-64,2.462
RG60SE_A6,00:1F:CF:11:83:08,-70,2.437
UPT-eduroam,24:DE:C6:7C:CA:F0,-61,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-62,2.417
SACI-A107a-2G,18:31:BF:64:EB:E8,-68,2.412
AIA,70:4C:A5:C8:ED:F2,-62,2.412
StaffCM,04:95:E6:06:77:61,-58,2.412
TP-LINK_A2,B0:48:7A:B2:59:38,-74,2.412
