SSID,BSSID,RSSI,Frequency(MHz)
AC-Guest,A0:AB:1B:7A:96:C8,-73,2.462
A304,98:DA:C4:3F:10:A7,-71,2.462
B129,A0:F3:C1:6A:30:36,-76,2.462
DCTI-PUBLIC,E0:1C:FC:94:13:77,-80,2.472
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-64,2.462
DCTI-PUBLIC,E0:1C:FC:94:19:32,-68,2.432
AIA,98:DA:C4:3F:1E:FF,-76,2.437
Stand_3_Siemens,00:1E:42:16:CB:CA,-80,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-94,2.437
DecanatET,E4:C3:2A:C9:29:C2,-62,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-70,2.452
DCTI-PUBLIC,E0:1C:FC:94:19:23,-76,2.442
uetm_guest,7A:2F:74:2C:C0:31,-74,2.447
uetm,F0:2F:74:2C:C0:30,-74,2.447
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-6,2.457
DecanatET_Guest,EA:C3:2A:C9:28:BA,-66,2.452
DecanatET,E4:C3:2A:C9:28:BA,-9,2.452
Tenda_709990,B4:0F:3B:70:99:94,-65,2.452
Lab TFI,50:D4:F7:BB:C8:85,-68,2.427
Consiliu,00:1F:CF:11:76:CC,-69,2.437
ETcTI,00:1D:60:19:98:D4,-59,2.412
LIGA_AC_HQ,C8:7F:54:58:EB:60,-82,2.417
SACI-A107a-2G,18:31:BF:64:EB:E8,-65,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-71,2.412
B329,E8:48:B8:64:B6:C3,-70,2.417
A108_2.4G,9C:53:22:7E:C3:BA,-80,2.427
Audi A7 MMI - Vlad,44:91:60:EF:C9:C0,-84,2.437
B714,00:1F:CF:11:7F:56,-73,2.437
uetm,F0:2F:74:2D:33:01,-74,2.447
A_306,F8:D1:11:41:11:BC,-77,2.437
1e790931,F4:91:1E:79:09:31,-82,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-82,2.462
OpenWrt,00:18:E7:89:72:29,-70,2.462
studcm,C0:C1:C0:D1:DB:68,-66,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-73,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-70,2.462
