SSID,BSSID,RSSI,Frequency(MHz)
Stand_3_Siemens,00:1E:42:16:CB:CA,-74,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-76,2.462
android027,00:24:01:E7:63:35,-76,2.472
B424,34:0A:33:7E:31:5C,-78,2.462
AC_guest,A0:AB:1B:7A:95:B6,-80,2.462
B129,A0:F3:C1:6A:30:36,-74,2.462
Consiliu,00:1F:CF:11:76:CC,-50,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-58,2.462
B329,E8:48:B8:64:B6:C3,-64,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-61,2.452
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-70,2.447
A_306,F8:D1:11:41:11:BC,-75,2.437
Electronica1,34:60:F9:A8:05:92,-62,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-60,2.417
A108_2.4G,9C:53:22:7E:C3:BA,-74,2.427
StaffCM,04:95:E6:06:77:61,-70,2.412
AIA,98:DA:C4:3F:1E:FF,-65,2.437
uetm_guest,7A:2F:74:2C:C0:31,-72,2.447
AIA,70:4C:A5:C8:ED:F2,-74,2.412
DecanatET,E4:C3:2A:C9:29:C2,-66,2.452
A304,98:DA:C4:3F:10:A7,-69,2.462
DecanatET_Guest,EA:C3:2A:C9:28:BA,-63,2.452
