SSID,BSSID,RSSI,Frequency(MHz)
AC-Guest,A0:AB:1B:7A:96:C8,-82,2.462
B129,A0:F3:C1:6A:30:36,-61,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-82,2.462
UPT-eduroam,D8:C7:C8:04:70:20,-79,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-64,2.462
Decanat_Etc,9C:53:22:3A:E5:BC,-66,2.422
A108_2.4G,9C:53:22:7E:C3:BA,-72,2.427
studcm,C0:C1:C0:D1:DB:68,-58,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-68,2.462
DecanatET,E4:C3:2A:C9:29:C2,-63,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-64,2.452
B029,A8:42:A1:69:A0:56,-21,2.447
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-68,2.447
WETC-B128,76:D0:2B:9B:FF:B3,-64,2.437
AIA,98:DA:C4:3F:1E:FF,-62,2.437
B714,00:1F:CF:11:7F:56,-72,2.437
POWER-EA,74:D0:2B:9B:FF:B2,-72,2.437
WETC32,00:1F:CF:11:76:C4,-80,2.437
B329,E8:48:B8:64:B6:C3,-53,2.422
StaffCM,04:95:E6:06:77:61,-61,2.412
AIA,70:4C:A5:C8:ED:F2,-60,2.412
UPT-eduroam,24:DE:C6:9E:F6:00,-90,2.462
B424,34:0A:33:7E:31:5C,-14,2.462
DIRECT-F4-HP Smart Tank 710-720,E2:70:EA:02:0C:F4,-78,2.437
RG60SE_A6,00:1F:CF:11:83:08,-68,2.437
Consiliu,00:1F:CF:11:76:CC,-63,2.437
A_306,F8:D1:11:41:11:BC,-72,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:32,-65,2.432
TP-LINK_A2,B0:48:7A:B2:59:38,-70,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-58,2.412
Electronica1,34:60:F9:A8:05:92,-72,2.422
AIA,98:DA:C4:3F:07:D1,-84,2.412
