SSID,BSSID,RSSI,Frequency(MHz)
A304,98:DA:C4:3F:10:A7,-75,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-67,2.462
OpenWrt,00:18:E7:89:72:29,-68,2.462
B714,00:1F:CF:11:7F:56,-11,2.437
WETC-B128,76:D0:2B:9B:FF:B3,-92,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-65,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-82,2.462
studcm,C0:C1:C0:D1:DB:68,-37,2.462
DecanatET,E4:C3:2A:C9:28:BA,-82,2.452
DecanatET_Guest,EA:C3:2A:C9:28:BA,-12,2.452
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-66,2.462
uetm,F0:2F:74:2C:C0:30,-69,2.447
AIA,98:DA:C4:3F:1E:FF,-67,2.437
uetm,F0:2F:74:2D:33:01,-72,2.447
uetm_guest,7A:2F:74:2C:C0:31,-73,2.447
DCTI-PUBLIC,E0:1C:FC:94:19:23,-6,2.442
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-68,2.417
Electronica1,34:60:F9:A8:05:92,-65,2.422
LIGA_AC_HQ,C8:7F:54:58:EB:60,-82,2.417
Consiliu,00:1F:CF:11:76:CC,-76,2.437
WETC32,00:1F:CF:11:76:C4,-78,2.437
ETcTI,00:1D:60:19:98:D4,-60,2.412
A_306,F8:D1:11:41:11:BC,-78,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:32,-76,2.432
B329,E8:48:B8:64:B6:C3,-72,2.417
WLAN,4A:F0:7B:07:B5:92,-76,2.412
UPT-eduroam,24:DE:C6:9E:F0:B0,-70,2.412
1e790931,F4:91:1E:79:09:31,-74,2.412
StaffCM,04:95:E6:06:77:61,-65,2.412
AIA,70:4C:A5:C8:ED:F2,-72,2.412
Stand_3_Siemens,00:1E:42:16:CB:CA,-82,2.462
