SSID,BSSID,RSSI,Frequency(MHz)
UPT-eduroam,24:DE:C6:9C:74:A0,-72,2.462
A304,98:DA:C4:3F:10:A7,-73,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-80,2.462
android027,00:24:01:E7:63:35,-76,2.472
WETC-B128,76:D0:2B:9B:FF:B3,-72,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-76,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-66,2.462
OpenWrt,00:18:E7:89:72:29,-70,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-64,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-69,2.462
studcm,C0:C1:C0:D1:DB:68,-67,2.462
uetm,F0:2F:74:2C:C0:30,-65,2.447
StaffCM,04:95:E6:06:77:61,-68,2.442
B029,A8:42:A1:69:A0:56,-81,2.447
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-76,2.437
Decanat_Etc,9C:53:22:3A:E5:BC,-74,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-62,2.417
Electronica1,34:60:F9:A8:05:92,-70,2.422
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-74,2.417
ETcTI,00:1D:60:19:98:D4,-65,2.412
Consiliu,00:1F:CF:11:76:CC,-66,2.437
B714,00:1F:CF:11:7F:56,-73,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:23,-74,2.442
A108_2.4G,9C:53:22:7E:C3:BA,-12,2.427
SACI-A107a-2G,18:31:BF:64:EB:E8,-68,2.412
WETC32,00:1F:CF:11:76:C4,-80,2.437
AIA,98:DA:C4:3F:1E:FF,-75,2.437
Redmi Note 13 Pro 5G,6E:46:71:59:BA:6A,-78,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:32,-78,2.432
uetm,F0:2F:74:2D:33:01,-82,2.447
ASUS,54:A0:50:B5:08:90,-84,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-68,2.412
B129,A0:F3:C1:6A:30:36,-82,2.462
