SSID,BSSID,RSSI,Frequency(MHz)
AC-Guest,A0:AB:1B:7A:96:C8,-77,2.462
B129,A0:F3:C1:6A:30:36,-71,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-64,2.462
Electronica1,34:60:F9:A8:05:92,-55,2.422
AIA,98:DA:C4:3F:1E:FF,-74,2.437
Etc_A205,30:16:9D:6D:62:04,-56,2.457
B329,E8:48:B8:64:B6:C3,-60,2.452
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-78,2.447
DecanatET_Guest,EA:C3:2A:C9:29:C2,-69,2.452
uetm,F0:2F:74:2D:33:01,-68,2.447
B714,00:1F:CF:11:7F:56,-66,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:23,-70,2.442
DCTI-PUBLIC,E0:1C:FC:94:19:32,-100,2.432
Tenda_709990,B4:0F:3B:70:99:94,-21,2.452
A108_2.4G,9C:53:22:7E:C3:BA,-65,2.427
Consiliu,00:1F:CF:11:76:CC,-68,2.437
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-54,2.417
DecanatET,E4:C3:2A:C9:28:BA,-76,2.452
ETcTI,00:1D:60:19:98:D4,-70,2.412
OpenWrt,00:18:E7:89:72:29,-71,2.462
A304,98:DA:C4:3F:10:A7,-61,2.462
DecanatET,E4:C3:2A:C9:29:C2,-68,2.452
RG60SE_A6,00:1F:CF:11:83:08,-71,2.437
A315,60:E3:27:2A:71:B6,-74,2.437
WETC-B128,76:D0:2B:9B:FF:B3,-74,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-72,2.412
1e790931,F4:91:1E:79:09:31,-84,2.412
StaffCM,04:95:E6:06:77:61,-64,2.412
AIA,70:4C:A5:C8:ED:F2,-75,2.412
decanat-ac,BC:0F:9A:5B:0B:76,-81,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-65,2.412
LIGA_AC_HQ,C8:7F:54:58:EB:60,-82,2.417
