SSID,BSSID,RSSI,Frequency(MHz)
OpenWrt,00:18:E7:89:72:29,-64,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-82,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-68,2.462
AIA,98:DA:C4:3F:1E:FF,-69,2.437
Electronica1,34:60:F9:A8:05:92,-68,2.422
LSFETc,74:DA:88:48:48:65,-6,2.432
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-82,2.457
DecanatET_Guest,EA:C3:2A:C9:29:C2,-71,2.452
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-82,2.447
DecanatET,E4:C3:2A:C9:29:C2,-76,2.452
Tenda_709990,B4:0F:3B:70:99:94,-64,2.452
uetm,F0:2F:74:2C:C0:30,-68,2.447
uetm_guest,7A:2F:74:2C:C0:31,-73,2.447
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-74,2.427
Consiliu,00:1F:CF:11:76:CC,-72,2.437
A_306,F8:D1:11:41:11:BC,-78,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-70,2.437
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-75,2.417
StaffCM,04:95:E6:06:77:61,-68,2.412
ETcTI,00:1D:60:19:98:D4,-68,2.412
1e790931,F4:91:1E:79:09:31,-72,2.412
UPT-eduroam,24:DE:C6:9E:F0:B0,-74,2.412
A304,98:DA:C4:3F:10:A7,-68,2.462
studcm,C0:C1:C0:D1:DB:68,-68,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-63,2.462
UPT-eduroam,24:DE:C6:9C:58:B0,-6,2.462
