SSID,BSSID,RSSI,Frequency(MHz)
AC-Guest,A0:AB:1B:7A:96:C8,-68,2.462
OpenWrt,00:18:E7:89:72:29,-64,2.462
DCTI-PUBLIC,E0:1C:FC:94:13:77,-80,2.472
UPT-eduroam,24:DE:C6:9C:74:A0,-70,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-65,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-70,2.437
LSFEE WiFi 2.4,C4:6E:1F:37:89:48,-78,2.457
DecanatET_Guest,EA:C3:2A:C9:29:C2,-72,2.452
uetm,F0:2F:74:2D:33:01,-76,2.447
Tenda_709990,B4:0F:3B:70:99:94,-66,2.452
uetm,F0:2F:74:2C:C0:30,-67,2.447
uetm_guest,7A:2F:74:2C:C0:31,-70,2.447
Electronica1,34:60:F9:A8:05:92,-68,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-63,2.417
LIGA_AC_HQ,C8:7F:54:58:EB:60,-75,2.417
A108_2.4G,9C:53:22:7E:C3:BA,-76,2.427
BFI,C8:3A:35:0E:BF:78,-88,2.437
Consiliu,00:1F:CF:11:76:CC,-74,2.437
AIA,98:DA:C4:3F:1E:FF,-74,2.437
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-75,2.417
B329,E8:48:B8:64:B6:C3,-68,2.417
StaffCM,04:95:E6:06:77:61,-67,2.412
1e790931,F4:91:1E:79:09:31,-68,2.412
ETcTI,00:1D:60:19:98:D4,-70,2.412
Etc_A205,30:16:9D:6D:62:04,-63,2.457
Off Limits2,B4:0F:3B:6E:D9:51,-83,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-80,2.462
