SSID,BSSID,RSSI,Frequency(MHz)
Off Limits2,B4:0F:3B:6E:D9:51,-80,2.462
Telekom-xjioCm,70:0B:01:05:B7:51,-100,2.472
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
android027,00:24:01:E7:63:35,-11,2.472
SACI-A109-2G,18:31:BF:64:EB:A8,-67,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-78,2.462
studcm,C0:C1:C0:D1:DB:68,-66,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-64,2.462
DCTI-PUBLIC,E0:1C:FC:94:19:32,-63,2.432
DCTI-PUBLIC,E0:1C:FC:94:19:23,-62,2.442
B329,E8:48:B8:64:B6:C3,-58,2.422
DecanatET_Guest,EA:C3:2A:C9:28:BA,-82,2.452
DecanatET,E4:C3:2A:C9:29:C2,-63,2.452
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-76,2.447
DecanatET_Guest,EA:C3:2A:C9:29:C2,-64,2.452
Etc_A205,30:16:9D:6D:62:04,-64,2.457
uetm_guest,7A:2F:74:2C:C0:31,-74,2.447
uetm,F0:2F:74:2C:C0:30,-70,2.447
uetm,F0:2F:74:2D:33:01,-69,2.447
AIA,70:4C:A5:C8:ED:F2,-68,2.412
RG60SE_A6,00:1F:CF:11:83:08,-71,2.437
WETC32,00:1F:CF:11:76:C4,-64,2.437
AIA,98:DA:C4:3F:1E:FF,-64,2.437
Consiliu,00:1F:CF:11:76:CC,-70,2.437
B714,00:1F:CF:11:7F:56,-62,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:1D,-69,2.427
WETC-B128,76:D0:2B:9B:FF:B3,-69,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-66,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-69,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-57,2.412
StaffCM,04:95:E6:06:77:61,-59,2.412
AC_guest,A0:AB:1B:7A:95:B6,-80,2.462
B424,34:0A:33:7E:31:5C,-72,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-74,2.462
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-77,2.457
