SSID,BSSID,RSSI,Frequency(MHz)
DCTI-PUBLIC,E0:1C:FC:94:13:77,-80,2.472
SACI-A109-2G,18:31:BF:64:EB:A8,-74,2.462
studcm,C0:C1:C0:D1:DB:68,-64,2.462
Etc_A205,30:16:9D:6D:62:04,-58,2.457
uetm_guest,7A:2F:74:2C:C0:31,-64,2.447
uetm,F0:2F:74:2D:33:01,-60,2.447
uetm,F0:2F:74:2C:C0:30,-60,2.447
DecanatET_Guest,EA:C3:2A:C9:29:C2,-30,2.452
StaffCM,04:95:E6:06:77:61,-76,2.442
DecanatET_Guest,EA:C3:2A:C9:28:BA,-76,2.452
Consiliu,00:1F:CF:11:76:CC,-69,2.437
Lab TFI,50:D4:F7:BB:C8:85,-69,2.427
A108_2.4G,9C:53:22:7E:C3:BA,-64,2.427
Electronica1,34:60:F9:A8:05:92,-58,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-54,2.417
WETc-A116,7C:8B:CA:41:0D:D4,-84,2.427
B329,E8:48:B8:64:B6:C3,-68,2.452
DecanatET,E4:C3:2A:C9:29:C2,-66,2.452
OpenWrt,00:18:E7:89:72:29,-74,2.462
A304,98:DA:C4:3F:10:A7,-62,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-61,2.462
Tenda_709990,B4:0F:3B:70:99:94,-80,2.452
WiFi_STPT824E,20:97:27:23:82:4E,-66,2.447
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-104,2.447
Redmi Note 13 Pro 5G,6E:46:71:59:BA:6A,-80,2.437
AIA,98:DA:C4:3F:1E:FF,-74,2.437
UPT-eduroam,24:DE:C6:7C:CA:F0,-68,2.412
ASUS,54:A0:50:B5:08:90,-82,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-63,2.412
TP-LINK_A2,B0:48:7A:B2:59:38,-78,2.412
UPT-eduroam,24:DE:C6:9E:F0:B0,-80,2.412
ETcTI,00:1D:60:19:98:D4,-60,2.412
