SSID,BSSID,RSSI,Frequency(MHz)
UPT-eduroam,24:DE:C6:9C:74:A0,-72,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-60,2.462
Telekom-xjioCm,70:0B:01:05:B7:51,-88,2.472
Stand_3_Siemens,00:1E:42:16:CB:CA,-83,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-76,2.462
Etc_A205,30:16:9D:6D:62:04,-74,2.457
A304,98:DA:C4:3F:10:A7,-76,2.462
uetm_guest,7A:2F:74:2C:C0:31,-68,2.447
DecanatET,E4:C3:2A:C9:29:C2,-70,2.452
uetm,F0:2F:74:2C:C0:30,-73,2.447
uetm,F0:2F:74:2D:33:01,-68,2.447
StaffCM,04:95:E6:06:77:61,-66,2.442
Electronica1,34:60:F9:A8:05:92,-72,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-64,2.417
B714,00:1F:CF:11:7F:56,-76,2.437
Consiliu,00:1F:CF:11:76:CC,-67,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-68,2.437
LSFETc,74:DA:88:48:48:65,-76,2.432
decanat-ac,BC:0F:9A:5B:0B:76,-86,2.412
1e790931,F4:91:1E:79:09:31,-76,2.412
ETcTI,00:1D:60:19:98:D4,-64,2.412
B329,E8:48:B8:64:B6:C3,-70,2.417
SACI-A107a-2G,18:31:BF:64:EB:E8,-68,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-76,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-72,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-63,2.462
DecanatET_Guest,EA:C3:2A:C9:29:C2,-82,2.452
DecanatET_Guest,EA:C3:2A:C9:28:BA,-78,2.452
