SSID,BSSID,RSSI,Frequency(MHz)
UPT-eduroam,24:DE:C6:9C:58:B0,-35,2.462
android027,00:24:01:E7:63:35,-97,2.472
A304,98:DA:C4:3F:10:A7,-74,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-64,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-77,2.462
Etc_A205,30:16:9D:6D:62:04,-66,2.457
studcm,C0:C1:C0:D1:DB:68,-67,2.462
OpenWrt,00:18:E7:89:72:29,-68,2.462
B714,00:1F:CF:11:7F:56,-100,2.437
DecanatET_Guest,EA:C3:2A:C9:28:BA,-77,2.452
DecanatET,E4:C3:2A:C9:28:BA,-78,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-70,2.452
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-61,2.462
Tenda_709990,B4:0F:3B:70:99:94,-64,2.452
uetm_guest,7A:2F:74:2C:C0:31,-66,2.447
uetm,F0:2F:74:2C:C0:30,-66,2.447
uetm,F0:2F:74:2D:33:01,-75,2.447
B029,A8:42:A1:69:A0:56,-82,2.447
AIA,98:DA:C4:3F:1E:FF,-68,2.437
Lab TFI,50:D4:F7:BB:C8:85,-77,2.427
DCTI-PUBLIC,E0:1C:FC:94:19:32,-84,2.432
Electronica1,34:60:F9:A8:05:92,-71,2.422
B329,E8:48:B8:64:B6:C3,-69,2.417
StaffCM,04:95:E6:06:77:61,-65,2.412
ETcTI,00:1D:60:19:98:D4,-64,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-70,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-66,2.417
WETC-B128,76:D0:2B:9B:FF:B3,-78,2.437
Consiliu,00:1F:CF:11:76:CC,-64,2.437
UPT-eduroam,24:DE:C6:9E:F0:B0,-72,2.412
1e790931,F4:91:1E:79:09:31,-70,2.412
CONFERENCE,84:D4:7E:2A:81:80,-88,2.412
DecanatET,E4:C3:2A:C9:29:C2,-72,2.452
