SSID,BSSID,RSSI,Frequency(MHz)
DCTI-PUBLIC,E0:1C:FC:94:13:77,-86,2.472
Stand_3_Siemens,00:1E:42:16:CB:CA,-83,2.462
studcm,C0:C1:C0:D1:DB:68,-6,2.462
Tenda_6176,58:D9:D5:00:61:76,-87,2.467
WETC-B128,76:D0:2B:9B:FF:B3,-78,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-78,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
OpenWrt,00:18:E7:89:72:29,-59,2.462
WiFi_STPT793B,20:97:27:20:79:3B,-90,2.427
AIA,98:DA:C4:3F:1E:FF,-75,2.437
Consiliu,00:1F:CF:11:76:CC,-67,2.437
DecanatET,E4:C3:2A:C9:29:C2,-65,2.452
DecanatET,E4:C3:2A:C9:28:BA,-81,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-93,2.452
Etc_A205,30:16:9D:6D:62:04,-64,2.457
DecanatET_Guest,EA:C3:2A:C9:28:BA,-79,2.452
uetm,F0:2F:74:2C:C0:30,-62,2.447
DCTI-PUBLIC,E0:1C:FC:94:19:32,-76,2.432
Electronica1,34:60:F9:A8:05:92,-66,2.422
B329,E8:48:B8:64:B6:C3,-66,2.417
Lab TFI,50:D4:F7:BB:C8:85,-64,2.427
ETcTI,00:1D:60:19:98:D4,-63,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-64,2.417
ASUS,54:A0:50:B5:08:90,-78,2.412
AC-Guest,A0:AB:1B:7A:96:C8,-64,2.462
Tenda_709990,B4:0F:3B:70:99:94,-72,2.452
uetm_guest,7A:2F:74:2C:C0:31,-66,2.447
70mai_M300_ab4b,2C:05:47:9E:AB:4B,-82,2.437
WETC32,00:1F:CF:11:76:C4,-83,2.437
B714,00:1F:CF:11:7F:56,-73,2.437
decanat-ac,BC:0F:9A:5B:0B:76,-88,2.412
1e790931,F4:91:1E:79:09:31,-80,2.412
