SSID,BSSID,RSSI,Frequency(MHz)
Etc_A205,30:16:9D:6D:62:04,-67,2.457
Tenda_6176,58:D9:D5:00:61:76,-86,2.467
Stand_3_Siemens,00:1E:42:16:CB:CA,-82,2.462
A304,98:DA:C4:3F:10:A7,-30,2.462
OpenWrt,00:18:E7:89:72:29,-59,2.462
Consiliu,00:1F:CF:11:76:CC,-66,2.437
DecanatET_Guest,EA:C3:2A:C9:28:BA,-79,2.452
uetm_guest,7A:2F:74:2C:C0:31,-64,2.447
uetm,F0:2F:74:2C:C0:30,-63,2.447
StaffCM,04:95:E6:06:77:61,-74,2.442
DecanatET,E4:C3:2A:C9:29:C2,-67,2.452
DCTI-PUBLIC,E0:1C:FC:94:19:32,-78,2.432
Electronica1,34:60:F9:A8:05:92,-64,2.422
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-64,2.417
AIA,70:4C:A5:C8:ED:F2,-84,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-80,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-85,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-58,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-65,2.462
B714,00:1F:CF:11:7F:56,-75,2.437
CONFERENCE,84:D4:7E:2A:81:80,-90,2.412
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-90,2.417
UPT-eduroam,24:DE:C6:9E:F8:E0,-76,2.412
1e790931,F4:91:1E:79:09:31,-82,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-62,2.412
ETcTI,00:1D:60:19:98:D4,-60,2.412
