SSID,BSSID,RSSI,Frequency(MHz)
A304,98:DA:C4:3F:10:A7,-70,2.462
B424,34:0A:33:7E:31:5C,-75,2.462
Etc_A205,30:16:9D:6D:62:04,-64,2.457
LSFETc,74:DA:88:48:48:65,-86,2.432
My VW 5760,DA:10:68:0E:F9:E8,-82,2.437
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-72,2.457
DecanatET_Guest,EA:C3:2A:C9:29:C2,-70,2.452
DecanatET,E4:C3:2A:C9:29:C2,-61,2.452
DCTI-PUBLIC,E0:1C:FC:94:19:23,-65,2.442
A_306,F8:D1:11:41:11:BC,-68,2.437
AIA,98:DA:C4:3F:1E:FF,-65,2.437
uetm,F0:2F:74:2D:33:01,-78,2.447
B029,A8:42:A1:69:A0:56,-100,2.447
B329,E8:48:B8:64:B6:C3,-51,2.422
Electronica1,34:60:F9:A8:05:92,-68,2.422
SACI-A107a-2G,18:31:BF:64:EB:E8,-68,2.412
StaffCM,04:95:E6:06:77:61,-53,2.412
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-82,2.417
WiFi_STPT753A,20:97:27:20:75:3A,-66,2.432
Tenda_709990,B4:0F:3B:70:99:94,-61,2.422
WETC32,00:1F:CF:11:76:C4,-68,2.437
RG60SE_A6,00:1F:CF:11:83:08,-76,2.437
WETC-B128,76:D0:2B:9B:FF:B3,-70,2.437
Consiliu,00:1F:CF:11:76:CC,-64,2.437
POWER-EA,74:D0:2B:9B:FF:B2,-70,2.437
B714,00:1F:CF:11:7F:56,-58,2.437
UPT-eduroam,24:DE:C6:9C:56:C0,-82,2.412
AIA,98:DA:C4:3F:07:D1,-84,2.412
AIA,70:4C:A5:C8:ED:F2,-72,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-62,2.412
studcm,C0:C1:C0:D1:DB:68,-66,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-63,2.462
