SSID,BSSID,RSSI,Frequency(MHz)
POWER-EA,74:D0:2B:9B:FF:B2,-80,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-70,2.462
A304,98:DA:C4:3F:10:A7,-29,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-67,2.462
OpenWrt,00:18:E7:89:72:29,-69,2.462
studcm,C0:C1:C0:D1:DB:68,-67,2.462
WETC-B128,76:D0:2B:9B:FF:B3,-20,2.462
B129,A0:F3:C1:6A:30:36,-84,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-71,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-65,2.462
StaffCM,04:95:E6:06:77:61,-67,2.442
uetm,F0:2F:74:2C:C0:30,-64,2.447
Lab TFI,50:D4:F7:BB:C8:85,-70,2.427
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-62,2.417
Electronica1,34:60:F9:A8:05:92,-66,2.422
B329,E8:48:B8:64:B6:C3,-71,2.417
ETcTI,00:1D:60:19:98:D4,-62,2.412
AIA,98:DA:C4:3F:1E:FF,-70,2.437
uetm_guest,7A:2F:74:2C:C0:31,-68,2.447
B029,A8:42:A1:69:A0:56,-86,2.447
LSFETc,74:DA:88:48:48:65,-74,2.432
B714,00:1F:CF:11:7F:56,-84,2.437
Consiliu,00:1F:CF:11:76:CC,-68,2.437
WETC32,00:1F:CF:11:76:C4,-78,2.437
Redmi Note 13 Pro 5G,6E:46:71:59:BA:6A,-84,2.437
ASUS,54:A0:50:B5:08:90,-82,2.412
UPT-eduroam,24:DE:C6:9E:F3:10,-81,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-68,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-72,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-68,2.412
USER-PC_Network,C8:BE:19:B2:FA:14,-84,2.462
