SSID,BSSID,RSSI,Frequency(MHz)
UPT-eduroam,24:DE:C6:9E:F2:D0,-78,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-68,2.462
android027,00:24:01:E7:63:35,-76,2.472
B424,34:0A:33:7E:31:5C,-72,2.462
Etc_A205,30:16:9D:6D:62:04,-66,2.457
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,-72,2.457
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-68,2.462
DCTI-PUBLIC,E0:1C:FC:94:19:32,-58,2.432
Tenda_709990,B4:0F:3B:70:99:94,-58,2.422
B129,A0:F3:C1:6A:30:36,-69,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-64,2.462
DCTI-PUBLIC,E0:1C:FC:94:19:23,-61,2.442
B329,E8:48:B8:64:B6:C3,-55,2.422
B714,00:1F:CF:11:7F:56,-62,2.437
Consiliu,00:1F:CF:11:76:CC,-60,2.437
studcm,C0:C1:C0:D1:DB:68,-65,2.462
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-83,2.447
WETC32,00:1F:CF:11:76:C4,-67,2.437
A_306,F8:D1:11:41:11:BC,-70,2.437
POWER-EA,74:D0:2B:9B:FF:B2,-100,2.437
ETcTI,00:1D:60:19:98:D4,-62,2.412
AIA,98:DA:C4:3F:1E:FF,-64,2.437
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-82,2.437
SACI-A107a-2G,18:31:BF:64:EB:E8,-72,2.412
TP-LINK_A2,B0:48:7A:B2:59:38,-65,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-61,2.412
StaffCM,04:95:E6:06:77:61,-60,2.412
Electronica1,34:60:F9:A8:05:92,-71,2.422
AC-Guest,A0:AB:1B:7A:96:C8,-80,2.462
OpenWrt,00:18:E7:89:72:29,-75,2.462
DecanatET,E4:C3:2A:C9:29:C2,-75,2.452
