SSID,BSSID,RSSI,Frequency(MHz)
SACI-A109-2G,18:31:BF:64:EB:A8,-70,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-66,2.462
UPT-eduroam,24:DE:C6:9C:74:A0,-67,2.462
Etc_A205,30:16:9D:6D:62:04,-67,2.457
LSFETc,74:DA:88:48:48:65,-85,2.432
studcm,C0:C1:C0:D1:DB:68,-23,2.462
uetm,F0:2F:74:2C:C0:30,-26,2.447
DecanatET,E4:C3:2A:C9:28:BA,-82,2.452
uetm,F0:2F:74:2D:33:01,-73,2.447
Tenda_709990,B4:0F:3B:70:99:94,-59,2.452
PowerTheWorld2,00:23:CD:18:8C:64,-100,2.447
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-74,2.437
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-80,2.427
BFI_UPT,D8:07:B6:10:F7:38,-78,2.432
Electronica1,34:60:F9:A8:05:92,-70,2.422
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,-75,2.417
70mai_Pro Plus+_e594,44:27:F3:A6:E5:94,-72,2.412
Lab TFI,50:D4:F7:BB:C8:85,-71,2.427
A108_2.4G,9C:53:22:7E:C3:BA,-14,2.427
B714,00:1F:CF:11:7F:56,-69,2.437
Consiliu,00:1F:CF:11:76:CC,-73,2.437
WETC32,00:1F:CF:11:76:C4,-74,2.437
1e790931,F4:91:1E:79:09:31,-73,2.412
StaffCM,04:95:E6:06:77:61,-65,2.412
ETcTI,00:1D:60:19:98:D4,-62,2.412
DecanatET,E4:C3:2A:C9:29:C2,-71,2.452
