SSID,BSSID,RSSI,Frequency(MHz)
UPT-eduroam,24:DE:C6:9C:74:A0,-73,2.462
Etc_A205,30:16:9D:6D:62:04,-73,2.457
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-64,2.462
A304,98:DA:C4:3F:10:A7,-74,2.462
Electronica1,34:60:F9:A8:05:92,-62,2.422
OpenWrt,00:18:E7:89:72:29,-62,2.462
DecanatET_Guest,EA:C3:2A:C9:28:BA,-24,2.452
studcm,C0:C1:C0:D1:DB:68,-76,2.462
DecanatET_Guest,EA:C3:2A:C9:29:C2,-78,2.452
uetm_guest,7A:2F:74:2C:C0:31,-70,2.447
Tenda_709990,B4:0F:3B:70:99:94,-72,2.452
uetm,F0:2F:74:2C:C0:30,-73,2.447
POWER-EA,74:D0:2B:9B:FF:B2,-80,2.437
Consiliu,00:1F:CF:11:76:CC,-68,2.437
WETC-B128,76:D0:2B:9B:FF:B3,-78,2.437
B714,00:1F:CF:11:7F:56,-70,2.437
Lab TFI,50:D4:F7:BB:C8:85,-82,2.427
Centrul de Dezvoltare Academică,E8:48:B8:63:AD:A3,-81,2.427
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-80,2.427
ETcTI,00:1D:60:19:98:D4,-68,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-71,2.412
Off Limits2,B4:0F:3B:6E:D9:51,-88,2.462
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-64,2.417
AC-Guest,A0:AB:1B:7A:96:C8,-72,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-76,2.462
AIA,98:DA:C4:3F:1E:FF,-77,2.437
StaffCM,04:95:E6:06:77:61,-72,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-74,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-70,2.412
UPT-eduroam,24:DE:C6:9E:F0:B0,-74,2.412
