SSID,BSSID,RSSI,Frequency(MHz)
DCTI-PUBLIC,E0:1C:FC:94:13:77,-86,2.472
UPT-eduroam,24:DE:C6:9C:74:A0,-70,2.462
Etc_A205,30:16:9D:6D:62:04,-65,2.457
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-62,2.462
Consiliu,00:1F:CF:11:76:CC,-66,2.437
uetm,F0:2F:74:2C:C0:30,-64,2.447
uetm,F0:2F:74:2D:33:01,-70,2.447
Tenda_709990,B4:0F:3B:70:99:94,-72,2.452
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-69,2.437
B714,00:1F:CF:11:7F:56,-74,2.437
StaffCM,04:95:E6:06:77:61,-66,2.442
Electronica1,34:60:F9:A8:05:92,-62,2.422
uetm_guest,7A:2F:74:2C:C0:31,-68,2.447
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-64,2.417
ETcTI,00:1D:60:19:98:D4,-66,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-78,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-76,2.462
A304,98:DA:C4:3F:10:A7,-70,2.462
WETC32,00:1F:CF:11:76:C4,-80,2.437
AIA,98:DA:C4:3F:1E:FF,-76,2.437
A_306,F8:D1:11:41:11:BC,-78,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:32,-76,2.432
SACI-A107a-2G,18:31:BF:64:EB:E8,-77,2.412
AIA,70:4C:A5:C8:ED:F2,-74,2.412
