SSID,BSSID,RSSI,Frequency(MHz)
DCTI-PUBLIC,E0:1C:FC:94:13:77,-81,2.472
UPT-eduroam,24:DE:C6:9C:74:A0,-72,2.462
OpenWrt,00:18:E7:89:72:29,-76,2.462
android027,00:24:01:E7:63:35,-82,2.472
WETC-B128,76:D0:2B:9B:FF:B3,-78,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-82,2.462
A304,98:DA:C4:3F:10:A7,-70,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-59,2.462
Consiliu,00:1F:CF:11:76:CC,-63,2.437
B329,E8:48:B8:64:B6:C3,-65,2.452
uetm_guest,7A:2F:74:2C:C0:31,-64,2.447
Tenda_709990,B4:0F:3B:70:99:94,-68,2.452
Etc_A205,30:16:9D:6D:62:04,-70,2.457
uetm,F0:2F:74:2C:C0:30,-68,2.447
Lab TFI,50:D4:F7:BB:C8:85,-72,2.427
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-84,2.437
StaffCM,04:95:E6:06:77:61,-68,2.442
Decanat_Etc,9C:53:22:3A:E5:BC,-74,2.422
smartmove-upt,84:D8:1B:FC:C1:B0,-82,2.417
Electronica1,34:60:F9:A8:05:92,-65,2.422
ETcTI,00:1D:60:19:98:D4,-56,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-71,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-62,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-53,2.417
B714,00:1F:CF:11:7F:56,-72,2.437
AIA,98:DA:C4:3F:1E:FF,-70,2.437
WETC32,00:1F:CF:11:76:C4,-74,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:23,-72,2.442
UPT-eduroam,24:DE:C6:9E:F8:E0,-71,2.412
TP-Link_3167,C0:06:C3:1A:31:67,-77,2.422
AIA,70:4C:A5:C8:ED:F2,-72,2.412
