SSID,BSSID,RSSI,Frequency(MHz)
Electronica1,34:60:F9:A8:05:92,-62,2.422
studcm,C0:C1:C0:D1:DB:68,-64,2.462
DecanatET_Guest,EA:C3:2A:C9:29:C2,-70,2.452
uetm_guest,7A:2F:74:2C:C0:31,-67,2.447
Consiliu,00:1F:CF:11:76:CC,-63,2.437
uetm,F0:2F:74:2C:C0:30,-63,2.447
uetm,F0:2F:74:2D:33:01,-68,2.447
Tenda_709990,B4:0F:3B:70:99:94,-64,2.452
A108_2.4G,9C:53:22:7E:C3:BA,-70,2.427
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-80,2.437
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-59,2.417
ETcTI,00:1D:60:19:98:D4,-62,2.412
B329,E8:48:B8:64:B6:C3,-69,2.417
B424,34:0A:33:7E:31:5C,-84,2.462
AC-Guest,A0:AB:1B:7A:96:C8,-64,2.462
A304,98:DA:C4:3F:10:A7,-68,2.462
OpenWrt,00:18:E7:89:72:29,-62,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-60,2.462
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-92,2.427
A315,60:E3:27:2A:71:B6,-88,2.437
1e790931,F4:91:1E:79:09:31,-84,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-65,2.412
