SSID,BSSID,RSSI,Frequency(MHz)
OpenWrt,00:18:E7:89:72:29,-68,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-70,2.437
AC-Guest,A0:AB:1B:7A:96:C8,-64,2.462
DecanatET,E4:C3:2A:C9:28:BA,-74,2.452
DecanatET_Guest,EA:C3:2A:C9:29:C2,-78,2.452
DecanatET_Guest,EA:C3:2A:C9:28:BA,-76,2.452
uetm_guest,7A:2F:74:2C:C0:31,-66,2.447
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-64,2.462
uetm,F0:2F:74:2D:33:01,-68,2.447
uetm,F0:2F:74:2C:C0:30,-66,2.447
StaffCM,04:95:E6:06:77:61,-68,2.442
Lab TFI,50:D4:F7:BB:C8:85,-74,2.427
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-63,2.417
LIGA_AC_HQ,C8:7F:54:58:EB:60,-70,2.417
ETcTI,00:1D:60:19:98:D4,-63,2.412
A108_2.4G,9C:53:22:7E:C3:BA,-78,2.427
PowerTheWorld1.1,B0:48:7A:A0:4F:92,-84,2.427
LSFETc,74:DA:88:48:48:65,-76,2.432
WETC32,00:1F:CF:11:76:C4,-80,2.437
Consiliu,00:1F:CF:11:76:CC,-70,2.437
DCTI-PUBLIC,E0:1C:FC:94:19:32,-100,2.432
UPT-eduroam,24:DE:C6:9E:F8:E0,-72,2.412
B329,E8:48:B8:64:B6:C3,-70,2.417
decanat-ac,BC:0F:9A:5B:0B:76,-84,2.412
1e790931,F4:91:1E:79:09:31,-73,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-70,2.412
Stand_3_Siemens,00:1E:42:16:CB:CA,-80,2.462
WETC-B128,76:D0:2B:9B:FF:B3,-76,2.462
POWER-EA,74:D0:2B:9B:FF:B2,-70,2.462
studcm,C0:C1:C0:D1:DB:68,-70,2.462
